order_id,worker_id,service_time,delivery_cost,estimated_profit
10492,976,63.87952,4.448,10.552
20434,411,19.14031,1.65052,13.34948
58536,1057,32.24119,6.42239,8.57761
13922,3986,30.80816,3.34246,11.65754
26719,2679,42.06787,6.14084,8.85916
58590,2353,35.32274,4.88197,10.11803
3975,3121,37.88006,4.61535,10.38465
36381,1072,35.95171,5.40207,9.59793
46163,475,19.48047,3.42544,11.57456
58562,3363,41.13974,8.88372,6.11628
39217,2129,55.9519,8.10489,6.89511
46124,3036,21.8874,3.7265,11.2735
42551,2318,16.38136,0.85898,14.14102
52331,1534,57.7157,11.822,3.178
10635,1096,26.8117,4.59551,10.40449
49342,3562,34.64882,6.24139,8.75861
46117,3970,45.7866,7.49854,7.50146
46095,2971,21.45157,3.43425,11.56575
23361,1121,39.09994,6.19887,8.80113
36317,2253,47.63276,7.4432,7.5568
16964,1886,21.24776,3.22337,11.77663
42727,3124,61.24498,9.16105,5.83895
49252,4044,41.65374,7.10587,7.89413
61601,3114,32.47611,4.85554,10.14446
10575,1751,30.17043,3.55143,11.44857
55434,1493,30.43905,5.18134,9.81866
26654,1048,40.2924,7.26656,7.73344
36241,3364,48.57769,8.30146,6.69854
52394,149,30.89295,4.94891,10.05109
7347,58,28.95126,4.4414,10.5586
7416,4244,42.17954,6.13967,8.86033
55428,3026,41.54827,7.65293,7.34707
20166,770,32.23087,3.77165,11.22835
26883,772,23.61477,2.02567,12.97433
42816,935,51.05679,7.74436,7.25564
17099,1279,25.746,3.55351,11.44649
39505,1339,31.8492,4.35148,10.64852
39528,1511,57.53602,11.4184,3.5816
33042,110,33.76114,4.63816,10.36184
7426,813,36.4003,6.09396,8.90604
