order_id,worker_id,service_time,delivery_cost,estimated_profit
19595,1125.0,26.67933,4.60351,10.39649
6772,210.0,30.92898,4.39732,10.60268
9705,182.0,37.35219,5.14551,9.85449
63942,191.0,31.07888,4.92229,10.07771
57753,1628.0,14.63391,0.71958,14.28042
16348,1348.0,13.31846,1.06209,13.93791
32257,708.0,33.32006,5.75635,9.24365
38584,149.0,20.16254,3.03237,11.96763
60925,965.0,21.64927,2.0065,12.9935
57718,1216.0,16.94134,2.00465,12.99535
57704,813.0,32.57963,3.94247,11.05753
29232,835.0,70.69492,2.33215,12.66785
51624,1991.0,36.73472,6.02421,8.97579
54618,443.0,45.09296,4.35002,10.64998
60871,878.0,17.41204,1.34059,13.65941
57791,1261.0,35.73328,4.78721,10.21279
9981,1892.0,26.3397,3.52871,11.47129
10005,1367.0,32.87037,6.20753,8.79247
3189,475.0,30.91679,5.07114,9.92886
22611,1219.0,32.73447,2.53193,12.46807
