order_id,worker_id,service_time
19595,149,26.99478
19595,182,27.30571
19595,191,27.2745
19595,210,27.62581
19595,443,29.77328
19595,475,28.49953
19595,708,26.97861
19595,813,26.91998
19595,835,30.26179
19595,878,26.95779
19595,965,31.63614
19595,1125,25.71431
19595,1216,31.3977
19595,1219,34.63514
19595,1261,26.85657
19595,1348,27.17153
19595,1367,26.98113
19595,1628,27.82736
19595,1892,27.16774
19595,1991,30.27769
6772,149,30.57475
6772,182,30.21717
6772,191,30.27473
6772,210,30.00718
6772,443,35.6517
6772,475,34.54245
6772,708,30.55638
6772,813,30.60054
6772,835,35.40581
6772,878,30.59956
6772,965,36.16591
6772,1125,31.91521
6772,1216,36.45801
6772,1219,39.52068
6772,1261,30.67109
6772,1348,30.34585
6772,1367,33.3943
6772,1628,30.3423
6772,1892,33.14682
6772,1991,35.44924
9705,149,36.62461
9705,182,36.27355
9705,191,36.35688
9705,210,36.479
9705,443,41.73467
9705,475,40.60275
9705,708,36.59123
9705,813,36.62837
9705,835,41.57716
9705,878,36.64241
9705,965,42.43012
9705,1125,37.94061
9705,1216,42.64839
9705,1219,45.7491
9705,1261,36.70051
9705,1348,36.37656
9705,1367,39.42093
9705,1628,36.82714
9705,1892,39.20166
9705,1991,41.61733
63942,149,30.34412
63942,182,29.98324
63942,191,30.04703
63942,210,29.78612
63942,443,35.43095
63942,475,34.31746
63942,708,30.31986
63942,813,30.35894
63942,835,35.18716
63942,878,30.36672
63942,965,35.93813
63942,1125,31.66848
63942,1216,36.23814
63942,1219,39.29704
63942,1261,30.43106
63942,1348,30.10627
63942,1367,33.15028
63942,1628,30.09274
63942,1892,32.92017
63942,1991,35.23075
57753,149,14.73445
57753,182,14.37356
57753,191,14.43735
57753,210,14.17645
57753,443,19.82127
57753,475,18.70778
57753,708,14.71019
57753,813,14.74927
57753,835,19.57749
57753,878,14.75705
57753,965,20.32845
57753,1125,16.05881
57753,1216,20.62847
57753,1219,23.68736
57753,1261,14.82138
57753,1348,14.4966
57753,1367,17.5406
57753,1628,14.48306
57753,1892,17.31049
57753,1991,19.62107
16348,149,13.33367
16348,182,12.97278
16348,191,13.03657
16348,210,12.77567
16348,443,18.42049
16348,475,17.30701
16348,708,13.30941
16348,813,13.34849
16348,835,18.17671
16348,878,13.35627
16348,965,18.92768
16348,1125,14.65803
16348,1216,19.22769
16348,1219,22.28659
16348,1261,13.4206
16348,1348,13.09582
16348,1367,16.13983
16348,1628,13.08229
16348,1892,15.90971
16348,1991,18.22029
32257,149,32.14675
32257,182,31.79569
32257,191,31.87902
32257,210,32.00115
32257,443,37.25681
32257,475,36.12489
32257,708,32.11338
32257,813,32.15051
32257,835,37.0993
32257,878,32.16455
32257,965,37.95227
32257,1125,33.46275
32257,1216,38.17053
32257,1219,41.27124
32257,1261,32.22265
32257,1348,31.8987
32257,1367,34.94307
32257,1628,32.34928
32257,1892,34.7238
32257,1991,37.13947
38584,149,19.52687
38584,182,19.17581
38584,191,19.25914
38584,210,19.38127
38584,443,24.63694
38584,475,23.50501
38584,708,19.4935
38584,813,19.53063
38584,835,24.47942
38584,878,19.54468
38584,965,25.33239
38584,1125,20.84288
38584,1216,25.55066
38584,1219,28.65137
38584,1261,19.60277
38584,1348,19.27883
38584,1367,22.3232
38584,1628,19.72941
38584,1892,22.10392
38584,1991,24.5196
60925,149,25.87671
60925,182,26.06053
60925,191,25.98092
60925,210,26.0264
60925,443,24.76639
60925,475,25.09114
60925,708,25.96215
60925,813,26.01202
60925,835,22.68344
60925,878,25.8986
60925,965,21.22865
60925,1125,26.01496
60925,1216,22.63019
60925,1219,24.63277
60925,1261,25.97541
60925,1348,26.05943
60925,1367,26.18528
60925,1628,25.71847
60925,1892,25.10398
60925,1991,22.75296
57718,149,19.76762
57718,182,19.95144
57718,191,19.87184
57718,210,19.91732
57718,443,18.6573
57718,475,18.98205
57718,708,19.85307
57718,813,19.90294
57718,835,16.57435
57718,878,19.78951
57718,965,15.11957
57718,1125,19.90588
57718,1216,16.52111
57718,1219,18.52369
57718,1261,19.86633
57718,1348,19.95035
57718,1367,20.07619
57718,1628,19.60939
57718,1892,18.99489
57718,1991,16.64387
57704,149,31.73836
57704,182,31.37747
57704,191,31.44126
57704,210,31.18036
57704,443,36.82518
57704,475,35.71169
57704,708,31.7141
57704,813,31.75318
57704,835,36.5814
57704,878,31.76096
57704,965,37.33236
57704,1125,33.06272
57704,1216,37.63238
57704,1219,40.69127
57704,1261,31.82529
57704,1348,31.50051
57704,1367,34.54451
57704,1628,31.48698
57704,1892,34.3144
57704,1991,36.62498
29232,149,73.33314
29232,182,73.51343
29232,191,73.43413
29232,210,73.47575
29232,443,72.2853
29232,475,72.59648
29232,708,73.4187
29232,813,73.46922
29232,835,70.20604
29232,878,73.35543
29232,965,68.75685
29232,1125,73.48727
29232,1216,70.16402
29232,1219,72.14891
29232,1261,73.43334
29232,1348,73.51382
29232,1367,73.67404
29232,1628,73.16542
29232,1892,72.59178
29232,1991,70.2761
51624,149,38.59563
51624,182,38.77945
51624,191,38.69984
51624,210,38.74532
51624,443,37.48531
51624,475,37.81006
51624,708,38.68108
51624,813,38.73094
51624,835,35.40236
51624,878,38.61752
51624,965,33.94758
51624,1125,38.73388
51624,1216,35.34912
51624,1219,37.3517
51624,1261,38.69433
51624,1348,38.77835
51624,1367,38.9042
51624,1628,38.4374
51624,1892,37.8229
51624,1991,35.47188
54618,149,45.32798
54618,182,45.52237
54618,191,45.44187
54618,210,45.49995
54618,443,44.18107
54618,475,44.48201
54618,708,45.41302
54618,813,45.46098
54618,835,42.11306
54618,878,45.34868
54618,965,40.9553
54618,1125,45.42818
54618,1216,42.17187
54618,1219,44.40823
54618,1261,45.42231
54618,1348,45.51665
54618,1367,45.57674
54618,1628,45.20075
54618,1892,44.49629
54618,1991,42.18483
60871,149,17.10842
60871,182,16.74753
60871,191,16.81132
60871,210,16.55042
60871,443,22.19524
60871,475,21.08175
60871,708,17.08416
60871,813,17.12324
60871,835,21.95146
60871,878,17.13102
60871,965,22.70243
60871,1125,18.43278
60871,1216,23.00244
60871,1219,26.06133
60871,1261,17.19535
60871,1348,16.87057
60871,1367,19.91457
60871,1628,16.85704
60871,1892,19.68446
60871,1991,21.99504
57791,149,34.65385
57791,182,34.30279
57791,191,34.38612
57791,210,34.50825
57791,443,39.76391
57791,475,38.63199
57791,708,34.62048
57791,813,34.65761
57791,835,39.6064
57791,878,34.67165
57791,965,40.45937
57791,1125,35.96985
57791,1216,40.67763
57791,1219,43.77834
57791,1261,34.72975
57791,1348,34.4058
57791,1367,37.45017
57791,1628,34.85638
57791,1892,37.2309
57791,1991,39.64657
9981,149,23.02792
9981,182,22.67034
9981,191,22.72789
9981,210,22.46034
9981,443,28.10487
9981,475,26.99561
9981,708,23.00954
9981,813,23.0537
9981,835,27.85897
9981,878,23.05273
