worker_id,current_location
35,35_loc
563,563_loc
640,640_loc
708,708_loc
914,914_loc
993,993_loc
1157,1157_loc
1161,1161_loc
1339,1339_loc
1493,1493_loc
1534,1534_loc
1588,1588_loc
1628,1628_loc
2782,2782_loc
63,63_loc
168,168_loc
237,237_loc
248,248_loc
397,397_loc
405,405_loc
425,425_loc
481,481_loc
579,579_loc
650,650_loc
663,663_loc
673,673_loc
766,766_loc
826,826_loc
991,991_loc
1089,1089_loc
1096,1096_loc
1128,1128_loc
1129,1129_loc
1269,1269_loc
1472,1472_loc
1666,1666_loc
1829,1829_loc
1946,1946_loc
1952,1952_loc
1999,1999_loc
2001,2001_loc
2091,2091_loc
2152,2152_loc
2270,2270_loc
2503,2503_loc
2513,2513_loc
2538,2538_loc
2806,2806_loc
2921,2921_loc
3127,3127_loc
3159,3159_loc
3211,3211_loc
3245,3245_loc
3346,3346_loc
3363,3363_loc
3369,3369_loc
3567,3567_loc
3653,3653_loc
3775,3775_loc
4204,4204_loc
