location_id,x,y
r475,174530964,45905742
r1437,174525727,45907695
r1962,174529170,45912080
r627,174530604,45905886
r2942,174528480,45910091
r91,174541838,45920248
r1066,174531133,45905887
r1706,174525746,45905690
r2352,174526537,45905905
r2020,174528011,45912864
r347,174531250,45905800
r1229,174524578,45910049
r1804,174542703,45920269
r2641,174556330,45902660
r2251,174537595,45904078
r377,174546285,45907759
r2069,174522165,45923858
r1543,174557214,45924613
r953,174528830,45911820
r3515,174523997,45908811
r860,174521620,45927610
r3602,174542113,45909223
r1103,174542712,45920455
r1426,174542823,45920509
home1,174526290,45910130
home2,174542101,45909447
home3,174528080,45908455
home4,174534985,45900744
home5,174538543,45911196
home6,174540910,45894982
home7,174519697,45885091
home8,174533184,45905529
home9,174542631,45901671
home10,174535987,45901007
home11,174527609,45920173
home12,174528586,45898886
home13,174546644,45892624
home14,174522895,45898988
home15,174524284,45907995
home16,174535190,45905492
home17,174522788,45904247
home18,174536731,45904208
home19,174537377,45878258
home20,174579938,45907327
home21,174542456,45890238
home22,174545048,45909086
home23,174540453,45904535
home24,174539390,45890176
home25,174537191,45895751
home26,174560655,45905928
home27,174528730,45899375
home28,174528456,45905680
home29,174522964,45919049
home30,174527159,45895922
home31,174512552,45910451
home32,174502099,45872230
home33,174519521,45936524
home34,174525918,45906407
home35,174545637,45892740
home36,174541695,45890642
home37,174555053,45925405
home38,174541911,45899964
home39,174540520,45887404
home40,174538583,45902920
home41,174560807,45818207
home42,174522784,45894102
home43,174557510,45901005
home44,174518934,45936197
home45,174519542,45880828
home46,174574075,45917468
home47,174534800,45918026
home48,174555090,45939174
home49,174540062,45898324
home50,174543509,45853501
home51,174538382,45896642
home52,174536713,45904218
home53,174520517,45919965
home54,174550793,45922692
home55,174521463,45912556
home56,174587781,45904777
home57,174518790,45928422
home58,174524180,45897664
home59,174538909,45911145
home60,174526344,45913831
35_loc,174530298,45905933
563_loc,174527375,45912462
640_loc,174530012,45912379
708_loc,174525596,45905108
914_loc,174525388,45910542
993_loc,174535442,45919899
1157_loc,174530293,45905963
1161_loc,174543621,45901361
1339_loc,174526641,45905971
1493_loc,174529143,45909631
1534_loc,174525359,45908317
1588_loc,174523818,45908834
1628_loc,174526485,45906045
2782_loc,174526021,45910968
63_loc,174527197,45910562
168_loc,174535852,45906175
237_loc,174534968,45907496
248_loc,174526276,45910127
397_loc,174543424,45918191
405_loc,174555922,45896361
425_loc,174530335,45905997
481_loc,174530921,45905974
579_loc,174548517,45905372
650_loc,174530940,45906156
663_loc,174525439,45904723
673_loc,174525839,45912416
766_loc,174525400,45906529
826_loc,174494284,45925072
991_loc,174530403,45905971
1089_loc,174543694,45908340
1096_loc,174546012,45914222
1128_loc,174527182,45912351
1129_loc,174542757,45920201
1269_loc,174521793,45905644
1472_loc,174527022,45906130
1666_loc,174530359,45905948
1829_loc,174528662,45906287
1946_loc,174524901,45912019
1952_loc,174524998,45907748
1999_loc,174538973,45909715
2001_loc,174525138,45908113
2091_loc,174527884,45910869
2152_loc,174539289,45900500
2270_loc,174525886,45905951
2503_loc,174527624,45906209
2513_loc,174525515,45904057
2538_loc,174528490,45906285
2806_loc,174555059,45921433
2921_loc,174525855,45912173
3127_loc,174543771,45908269
3159_loc,174544059,45921240
3211_loc,174530455,45905923
3245_loc,174542071,45921035
3346_loc,174529210,45911933
3363_loc,174529889,45906143
3369_loc,174542599,45921189
3567_loc,174530362,45909676
3653_loc,174526983,45905905
3775_loc,174529652,45906124
4204_loc,174527705,45912344
