order_id,pickup_location,delivery_location,ready_time,fetch_time
60495,r475,home1,1666581492,1666581936
6144,r1437,home2,1666583876,1666584434
47950,r1962,home3,1666581597,1666582009
25636,r627,home4,1666607409,1666608026
57478,r2942,home5,1666598254,1666598786
9477,r91,home6,1666601428,1666602143
22485,r1066,home7,1666622847,1666623119
15700,r475,home8,1666582085,1666583086
60584,r1706,home9,1666587449,1666587994
25697,r627,home10,1666614883,1666615556
57449,r1962,home11,1666589539,1666590597
41302,r2352,home12,1666544353,1666546034
54448,r1706,home13,1666609553,1666610590
19124,r1962,home14,1666598723,1666599704
51282,r2020,home15,1666606831,1666607626
22266,r627,home16,1666583988,1666585084
25641,r347,home17,1666607814,1666608287
60550,r1229,home18,1666584108,1666584861
41639,r1804,home19,1666614789,1666615658
47986,r2641,home20,1666583503,1666584782
54357,r2251,home21,1666599883,1666600527
15689,r475,home22,1666581413,1666581800
63577,r377,home23,1666580615,1666581400
35068,r627,home24,1666590135,1666590393
9541,r347,home25,1666607828,1666608922
63885,r1066,home26,1666620390,1666621086
31695,r2352,home27,1666545975,1666547052
6036,r2069,home28,1666571889,1666573152
44672,r1229,home29,1666581471,1666582705
47883,r1543,home30,1666572024,1666572943
35226,r953,home31,1666612122,1666613009
38096,r1437,home32,1666570284,1666571060
6383,r1229,home33,1666617677,1666618932
63850,r1706,home34,1666611852,1666612885
60529,r627,home35,1666583183,1666583826
9410,r1066,home36,1666587720,1666588207
44930,r3515,home37,1666616277,1666617193
38243,r1437,home38,1666592141,1666592408
35115,r1706,home39,1666602984,1666604168
3085,r347,home40,1666610088,1666610525
51334,r1706,home41,1666610798,1666611609
22138,r1437,home42,1666570270,1666571853
9471,r2251,home43,1666599901,1666600678
35067,r1437,home44,1666589623,1666590178
25425,r2352,home45,1666581415,1666582026
28605,r627,home46,1666582350,1666583038
12499,r1229,home47,1666564360,1666565235
31914,r860,home48,1666605690,1666606851
28614,r627,home49,1666582902,1666583638
35038,r3602,home50,1666585261,1666585722
41459,r1103,home51,1666588420,1666588985
31700,r627,home52,1666564961,1666565221
28583,r1426,home53,1666581077,1666582149
22328,r1229,home54,1666593880,1666594659
63569,r347,home55,1666580513,1666581067
9311,r1426,home56,1666580371,1666581095
19104,r627,home57,1666591451,1666592060
22402,r1066,home58,1666607681,1666608156
25665,r2352,home59,1666610572,1666611342
25479,r953,home60,1666583078,1666583899
