order_id,worker_id,service_time,t_p,t_d,t_w
19595,149,21.07566,1.54357,19.53208,0
19595,182,21.40258,1.87049,19.53208,0
19595,191,21.36976,1.83768,19.53208,0
19595,210,21.73913,2.20705,19.53208,0
19595,443,23.99705,4.46497,19.53208,0
19595,475,22.65779,3.12571,19.53208,0
19595,708,21.05866,1.52657,19.53208,0
19595,813,20.997,1.46492,19.53208,0
19595,835,24.51068,4.97859,19.53208,0
19595,878,21.03676,1.50468,19.53208,0
19595,965,25.95571,6.42363,19.53208,0
19595,1125,19.72933,0.19725,19.53208,0
19595,1216,25.70502,6.17293,19.53208,0
19595,1219,29.10895,9.57686,19.53208,0
19595,1261,20.93033,1.39825,19.53208,0
19595,1348,21.2615,1.72941,19.53208,0
19595,1367,21.0613,1.52922,19.53208,0
19595,1628,21.95105,2.41896,19.53208,0
19595,1892,21.25751,1.72543,19.53208,0
19595,1991,24.5274,4.99531,19.53208,0
6772,149,19.44241,0.79934,18.64307,0
6772,182,19.06644,0.42336,18.64307,0
6772,191,19.12695,0.48388,18.64307,0
6772,210,18.84564,0.20257,18.64307,0
6772,443,24.78046,6.13739,18.64307,0
6772,475,23.61416,4.97108,18.64307,0
6772,708,19.42308,0.78001,18.64307,0
6772,813,19.46952,0.82645,18.64307,0
6772,835,24.52192,5.87884,18.64307,0
6772,878,19.46849,0.82542,18.64307,0
6772,965,25.32111,6.67804,18.64307,0
6772,1125,20.8518,2.20873,18.64307,0
6772,1216,25.62824,6.98516,18.64307,0
6772,1219,28.84841,10.20533,18.64307,0
6772,1261,19.5437,0.90063,18.64307,0
6772,1348,19.20173,0.55865,18.64307,0
6772,1367,22.40696,3.76389,18.64307,0
6772,1628,19.198,0.55492,18.64307,0
6772,1892,22.14676,3.50368,18.64307,0
6772,1991,24.56758,5.92451,18.64307,0
9705,149,22.4213,0.47482,21.94648,0
9705,182,22.05219,0.1057,21.94648,0
9705,191,22.1398,0.19332,21.94648,0
9705,210,22.26821,0.32173,21.94648,0
9705,443,27.79417,5.84768,21.94648,0
9705,475,26.60403,4.65755,21.94648,0
9705,708,22.38621,0.43973,21.94648,0
9705,813,22.42526,0.47877,21.94648,0
9705,835,27.62855,5.68207,21.94648,0
9705,878,22.44002,0.49354,21.94648,0
9705,965,28.52539,6.57891,21.94648,0
9705,1125,23.80498,1.8585,21.94648,0
9705,1216,28.75488,6.8084,21.94648,0
9705,1219,32.01506,10.06857,21.94648,0
9705,1261,22.50111,0.55462,21.94648,0
9705,1348,22.1605,0.21402,21.94648,0
9705,1367,25.36144,3.41495,21.94648,0
9705,1628,22.63425,0.68777,21.94648,0
9705,1892,25.13089,3.1844,21.94648,0
9705,1991,27.67079,5.72431,21.94648,0
63942,149,21.40792,0.89937,20.50855,0
63942,182,21.02847,0.51992,20.50855,0
63942,191,21.09554,0.58699,20.50855,0
63942,210,20.82122,0.31267,20.50855,0
63942,443,26.75635,6.2478,20.50855,0
63942,475,25.58559,5.07704,20.50855,0
63942,708,21.38241,0.87386,20.50855,0
63942,813,21.4235,0.91495,20.50855,0
63942,835,26.50003,5.99148,20.50855,0
63942,878,21.43168,0.92313,20.50855,0
63942,965,27.28961,6.78106,20.50855,0
63942,1125,22.80039,2.29184,20.50855,0
63942,1216,27.60506,7.09651,20.50855,0
63942,1219,30.82127,10.31272,20.50855,0
63942,1261,21.49932,0.99077,20.50855,0
63942,1348,21.15783,0.64928,20.50855,0
63942,1367,24.35839,3.84984,20.50855,0
63942,1628,21.14361,0.63506,20.50855,0
63942,1892,24.11644,3.60789,20.50855,0
63942,1991,26.54585,6.0373,20.50855,0
57753,149,3.34822,0.89937,2.44885,0
57753,182,2.96877,0.51992,2.44885,0
57753,191,3.03584,0.58699,2.44885,0
57753,210,2.76152,0.31267,2.44885,0
57753,443,8.69665,6.2478,2.44885,0
57753,475,7.5259,5.07704,2.44885,0
57753,708,3.32271,0.87386,2.44885,0
57753,813,3.3638,0.91495,2.44885,0
57753,835,8.44033,5.99148,2.44885,0
57753,878,3.37198,0.92313,2.44885,0
57753,965,9.22992,6.78106,2.44885,0
57753,1125,4.74069,2.29184,2.44885,0
57753,1216,9.54536,7.09651,2.44885,0
57753,1219,12.76157,10.31272,2.44885,0
57753,1261,3.43962,0.99077,2.44885,0
57753,1348,3.09814,0.64928,2.44885,0
57753,1367,6.29869,3.84984,2.44885,0
57753,1628,3.08391,0.63506,2.44885,0
