order_id,worker_id,estimated_profit
10492,58,12.8999
10492,110,12.90851
10492,149,11.73255
10492,411,12.59131
10492,475,11.77664
10492,770,11.79058
10492,772,11.71239
10492,813,11.62505
10492,935,11.47021
10492,976,10.552
10492,1057,9.60687
10492,1072,11.79669
10492,1096,10.93892
10492,1121,11.76806
10492,1279,11.76455
10492,1339,11.7779
10492,1493,10.82643
10492,1511,11.77551
10492,1534,9.45332
10492,1751,12.74008
10492,1886,12.88792
10492,2129,12.17336
10492,2253,11.77141
10492,2318,11.76374
10492,2353,11.70297
10492,2679,12.87982
10492,2971,12.88402
10492,3026,11.45865
10492,3036,10.50728
10492,3114,12.59843
10492,3121,12.88404
10492,3124,10.1111
10492,3363,11.74889
10492,3364,12.53758
10492,3562,12.86067
10492,3970,11.42329
10492,3986,11.83174
10492,4044,7.5931
10492,4244,13.09705
10492,1048,9.83671
20434,58,13.6034
20434,110,13.6191
20434,149,12.48665
20434,411,13.34948
20434,475,12.52277
20434,770,12.54065
20434,772,12.47206
20434,813,12.38534
20434,935,12.22319
20434,976,11.18189
20434,1057,10.23749
20434,1072,12.54832
20434,1096,11.70061
20434,1121,12.51425
20434,1279,12.50614
20434,1339,12.52072
20434,1493,11.46994
20434,1511,12.52504
20434,1534,10.09789
20434,1751,13.47752
20434,1886,13.57022
20434,2129,12.84536
20434,2253,12.51442
20434,2318,12.50914
20434,2353,12.46064
20434,2679,13.57479
20434,2971,13.58547
20434,3026,12.17254
20434,3036,11.19462
20434,3114,13.35639
20434,3121,13.56171
20434,3124,10.73478
20434,3363,12.49111
20434,3364,13.26673
20434,3562,13.54704
20434,3970,12.14082
20434,3986,12.59299
20434,4044,8.21808
20434,4244,13.76211
20434,1048,10.55085
58536,58,11.17393
58536,110,11.19946
58536,149,12.25319
58536,411,11.45346
58536,475,12.53239
58536,770,12.406
58536,772,11.94142
58536,813,11.85789
58536,935,12.20102
58536,976,8.7463
58536,1057,8.57761
58536,1072,12.35115
58536,1096,11.12706
58536,1121,12.53315
58536,1279,12.65146
58536,1339,12.61807
58536,1493,8.98579
58536,1511,12.4262
58536,1534,7.61372
58536,1751,11.23877
58536,1886,11.11068
58536,2129,10.41481
58536,2253,12.6176
58536,2318,12.5573
58536,2353,12.07205
58536,2679,11.13587
58536,2971,11.15702
58536,3026,11.98204
58536,3036,10.73041
58536,3114,11.44836
58536,3121,11.09685
58536,3124,8.77503
58536,3363,12.6488
58536,3364,11.08347
58536,3562,11.09751
58536,3970,12.03741
58536,3986,11.80508
58536,4044,6.4032
58536,4244,11.32797
58536,1048,10.59373
13922,58,12.71529
13922,110,12.7238
13922,149,11.56373
13922,411,12.4116
13922,475,11.61101
13922,770,11.6235
13922,772,11.54009
13922,813,11.45215
13922,935,11.30195
13922,976,10.382
13922,1057,9.4508
13922,1072,11.62897
13922,1096,10.7629
13922,1121,11.60242
13922,1279,11.60037
13922,1339,11.61335
13922,1493,10.65148
13922,1511,11.60864
13922,1534,9.27814
13922,1751,12.55623
13922,1886,12.70458
13922,2129,11.99218
13922,2253,11.6068
13922,2318,11.59836
13922,2353,11.53217
13922,2679,12.69558
13922,2971,12.69949
13922,3026,11.30074
13922,3036,10.3528
13922,3114,12.41861
13922,3121,12.70117
13922,3124,9.95221
13922,3363,11.58453
13922,3364,12.35309
13922,3562,12.67706
13922,3970,11.26476
13922,3986,11.65754
13922,4044,7.43498
13922,4244,12.93546
13922,1048,9.67889
26719,58,8.82639
26719,110,8.80531
26719,149,7.60893
26719,411,8.63085
26719,475,7.499
26719,770,7.57341
26719,772,7.79413
26719,813,7.77179
26719,935,7.36047
26719,976,9.00067
26719,1057,6.18773
26719,1072,7.60772
26719,1096,7.5633
26719,1121,7.49205
26719,1279,7.43133
26719,1339,7.45757
26719,1493,9.83299
26719,1511,7.55091
26719,1534,9.2424
26719,1751,8.82699
26719,1886,8.86498
26719,2129,9.58076
26719,2253,7.45397
26719,2318,7.47728
26719,2353,7.69487
26719,2679,8.85916
26719,2971,8.84485
26719,3026,6.96131
26719,3036,6.02967
26719,3114,8.63587
26719,3121,8.87176
26719,3124,7.08707
26719,3363,7.424
26719,3364,8.99989
26719,3562,8.88874
26719,3970,6.93688
26719,3986,8.00022
26719,4044,4.78055
26719,4244,8.58718
26719,1048,5.34384
58590,58,9.21323
58590,110,9.23872
58590,149,10.29923
58590,411,9.49105
58590,475,10.57454
58590,770,10.44917
58590,772,9.98624
58590,813,9.9042
