order_id,worker_id,service_time
58062,719,20.62243
58062,3677,18.39254
58062,1365,37.78839
58062,2691,22.3653
58062,1121,23.61319
58062,1493,19.82315
58062,770,18.23896
58062,1533,37.23267
58062,2847,21.21651
58062,3335,36.22541
58062,565,18.91454
58062,1973,37.4218
26181,719,35.22381
26181,3677,32.99392
26181,1365,52.38978
26181,2691,36.96668
26181,1121,38.21457
26181,1493,34.42453
26181,770,32.84035
26181,1533,51.83405
26181,2847,35.8179
26181,3335,50.82679
26181,565,33.51592
26181,1973,52.02318
10161,719,27.75714
10161,3677,29.4683
10161,1365,12.6281
10161,2691,27.53028
10161,1121,26.37326
10161,1493,31.10871
10161,770,29.18529
10161,1533,12.09465
10161,2847,32.36945
10161,3335,11.56724
10161,565,28.46022
10161,1973,12.56102
55051,719,30.8406
55051,3677,28.61071
55051,1365,48.00656
55051,2691,32.58347
55051,1121,33.83136
55051,1493,30.04132
55051,770,28.45714
55051,1533,47.45084
55051,2847,31.43469
55051,3335,46.44358
55051,565,29.13271
55051,1973,47.63997
13398,719,30.27743
13398,3677,28.04754
13398,1365,47.44339
13398,2691,32.0203
13398,1121,33.26819
13398,1493,29.47815
13398,770,27.89397
13398,1533,46.88767
13398,2847,30.87151
13398,3335,45.88041
13398,565,28.56954
13398,1973,47.0768
45578,719,25.83074
45578,3677,23.60085
45578,1365,42.99671
45578,2691,27.57361
45578,1121,28.8215
45578,1493,25.03146
45578,770,23.44728
45578,1533,42.44099
45578,2847,26.42483
45578,3335,41.43372
45578,565,24.12285
45578,1973,42.63011
16625,719,29.82332
16625,3677,27.59343
16625,1365,46.98929
16625,2691,31.56619
16625,1121,32.81409
16625,1493,29.02404
16625,770,27.43986
16625,1533,46.43357
16625,2847,30.41741
16625,3335,45.4263
16625,565,28.11543
16625,1973,46.62269
58236,719,47.33421
58236,3677,49.04537
58236,1365,32.20517
58236,2691,47.10735
58236,1121,45.95033
58236,1493,50.68578
58236,770,48.76236
58236,1533,31.67172
58236,2847,51.94652
58236,3335,31.14431
58236,565,48.03729
58236,1973,32.1381
7020,719,55.40459
7020,3677,57.11575
7020,1365,40.27555
7020,2691,55.17773
7020,1121,54.02071
7020,1493,58.75615
7020,770,56.83273
7020,1533,39.74209
7020,2847,60.0169
7020,3335,39.21468
7020,565,56.10767
7020,1973,40.20847
7039,719,30.08918
7039,3677,27.85929
7039,1365,47.25515
7039,2691,31.83206
7039,1121,33.07995
7039,1493,29.28991
7039,770,27.70572
7039,1533,46.69943
7039,2847,30.68327
7039,3335,45.69217
7039,565,28.38129
7039,1973,46.88855
13468,719,54.83858
13468,3677,56.54974
13468,1365,39.70954
13468,2691,54.61172
13468,1121,53.4547
13468,1493,58.19015
13468,770,56.26673
13468,1533,39.17609
13468,2847,59.45089
13468,3335,38.64868
13468,565,55.54166
13468,1973,39.64246
629,719,16.75262
629,3677,14.52273
629,1365,33.91858
629,2691,18.49549
629,1121,19.74338
629,1493,15.95334
629,770,14.36915
629,1533,33.36286
629,2847,17.3467
629,3335,32.3556
629,565,15.04473
629,1973,33.55199
29526,719,52.5503
29526,3677,54.26146
29526,1365,37.42126
29526,2691,52.32344
29526,1121,51.16642
29526,1493,55.90187
29526,770,53.97845
29526,1533,36.88781
29526,2847,57.16261
29526,3335,36.3604
29526,565,53.25338
29526,1973,37.35418
