order_id,worker_id,delivery_cost
60495,35,1.32613
60495,563,2.80897
60495,640,2.69799
60495,708,2.05723
60495,914,2.58724
60495,993,4.43837
60495,1157,1.32953
60495,1161,3.40231
60495,1339,1.88556
60495,1493,2.12428
60495,1534,2.25399
60495,1588,2.51682
60495,1628,1.91104
60495,2782,2.60598
60495,63,2.43482
60495,168,1.97716
60495,237,1.94682
60495,248,2.43007
60495,397,4.58834
60495,405,5.60459
60495,425,1.32731
60495,481,1.26668
60495,579,3.9322
60495,650,1.3068
60495,663,2.09917
60495,673,2.89746
60495,766,2.09327
60495,826,8.33415
60495,991,1.3153
60495,1089,3.26753
60495,1096,4.21103
60495,1128,2.79665
60495,1129,4.91184
60495,1269,2.63402
60495,1472,1.83074
60495,1666,1.31888
60495,1829,1.59094
60495,1946,2.89657
60495,1952,2.24
60495,1999,2.7367
60495,2001,2.25907
60495,2091,2.45045
60495,2152,2.95213
60495,2270,2.00184
60495,2503,1.74184
60495,2513,2.1374
60495,2538,1.61609
60495,2806,6.32109
60495,2921,2.8488
60495,3127,3.27461
60495,3159,5.21269
60495,3211,1.30311
60495,3245,5.0252
60495,3346,2.61797
60495,3363,1.4034
60495,3369,5.09304
60495,3567,2.09448
60495,3653,1.83177
60495,3775,1.43474
60495,4204,2.76706
6144,35,3.37212
6144,563,3.65387
6144,640,3.79829
6144,708,3.13918
6144,914,3.19881
6144,993,5.666
6144,1157,3.36823
6144,1161,5.6703
6144,1339,2.97215
6144,1493,3.24524
6144,1534,2.71309
6144,1588,2.95263
6144,1628,2.94873
6144,2782,3.2928
6144,63,3.24045
6144,168,4.16634
6144,237,3.99416
6144,248,3.11098
6144,397,6.1616
6144,405,7.87287
6144,425,3.37038
6144,481,3.45372
6144,579,6.12779
6144,650,3.43978
6144,663,3.22594
6144,673,3.61354
6144,766,2.82769
6144,826,8.77642
6144,991,3.38238
6144,1089,5.34744
6144,1096,6.02165
6144,1128,3.62314
6144,1129,6.39471
6144,1269,3.32418
6144,1472,2.96511
6144,1666,3.3788
6144,1829,3.11515
6144,1946,3.53357
6144,1952,2.67692
6144,1999,4.66183
6144,2001,2.69368
6144,2091,3.3443
6144,2152,5.20264
6144,2270,2.95212
6144,2503,3.00552
6144,2513,3.37322
6144,2538,3.09372
6144,2806,8.0344
6144,2921,3.55956
6144,3127,5.35857
6144,3159,6.701
6144,3211,3.39451
6144,3245,6.46171
6144,3346,3.6492
6144,3363,3.2942
6144,3369,6.54097
6144,3567,3.40522
6144,3653,3.00649
6144,3775,3.26418
6144,4204,3.64174
47950,35,2.20175
47950,563,1.11406
47950,640,0.96989
47950,708,2.4698
47950,914,1.50144
47950,993,2.81493
47950,1157,2.19503
47950,1161,4.09213
47950,1339,2.23744
47950,1493,1.36827
47950,1534,1.84737
47950,1588,1.92222
47950,1628,2.22858
47950,2782,1.37003
47950,63,1.27877
47950,168,2.49503
47950,237,2.18161
47950,248,1.44745
47950,397,3.41413
47950,405,6.24204
47950,425,2.18837
47950,481,2.2083
47950,579,4.16846
47950,650,2.16922
47950,663,2.55861
47950,673,1.34441
47950,766,2.189
47950,826,6.9456
47950,991,2.19553
47950,1089,3.21997
47950,1096,3.47272
47950,1128,1.13707
47950,1129,3.59505
47950,1269,2.65437
47950,1472,2.18794
47950,1666,2.19967
47950,1829,2.11432
47950,1946,1.4843
47950,1952,1.9833
47950,1999,2.42907
47950,2001,1.90415
47950,2091,1.15847
47950,2152,3.83759
47950,2270,2.27829
47950,2503,2.151
47950,2513,2.69535
47950,2538,2.11666
47950,2806,5.33696
47950,2921,1.33696
47950,3127,3.23665
47950,3159,3.89872
47950,3211,2.20723
47950,3245,3.64322
47950,3346,0.85689
47950,3363,2.14863
47950,3369,3.72543
47950,3567,1.38916
47950,3653,2.23796
47950,3775,2.15027
47950,4204,1.05778
25636,35,1.3779
25636,563,2.87484
25636,640,2.77628
25636,708,2.12346
25636,914,2.64227
25636,993,4.5344
25636,1157,1.38049
25636,1161,3.5812
25636,1339,1.94296
25636,1493,2.19239
25636,1534,2.30461
25636,1588,2.56735
25636,1628,1.96779
25636,2782,2.66366
25636,63,2.4953
25636,168,2.14406
25636,237,2.09376
25636,248,2.48615
25636,397,4.70924
25636,405,5.78357
25636,425,1.3778
25636,481,1.38222
25636,579,4.10377
25636,650,1.40883
25636,663,2.16949
25636,673,2.95807
25636,766,2.1473
25636,826,8.38516
25636,991,1.3658
25636,1089,3.42723
25636,1096,4.3495
25636,1128,2.86156
25636,1129,5.02679
25636,1269,2.69395
25636,1472,1.88636
25636,1666,1.36975
25636,1829,1.64288
25636,1946,2.95391
25636,1952,2.29067
25636,1999,2.87932
25636,2001,2.30957
25636,2091,2.51481
25636,2152,3.12973
25636,2270,2.05965
25636,2503,1.79611
25636,2513,2.21577
25636,2538,1.66836
25636,2806,6.45498
25636,2921,2.90892
25636,3127,3.43471
25636,3159,5.32858
25636,3211,1.35389
25636,3245,5.13703
25636,3346,2.69139
25636,3363,1.45394
25636,3369,5.20581
25636,3567,2.17309
25636,3653,1.88976
25636,3775,1.48594
25636,4204,2.83402
57478,35,2.54291
57478,563,2.13068
57478,640,2.1377
57478,708,2.77102
57478,914,2.0652
57478,993,4.00904
57478,1157,2.5363
57478,1161,4.61924
57478,1339,2.53578
57478,1493,1.72124
57478,1534,2.19996
57478,1588,2.35002
57478,1628,2.52764
57478,2782,2.00393
57478,63,1.80083
57478,168,3.01154
57478,237,2.73436
57478,248,1.91749
57478,397,4.50743
57478,405,6.8069
57478,425,2.531
57478,481,2.5668
57478,579,4.84973
57478,650,2.53068
57478,663,2.85955
57478,673,2.23541
57478,766,2.50084
57478,826,7.8286
57478,991,2.53972
57478,1089,3.96254
57478,1096,4.44043
57478,1128,2.11761
57478,1129,4.72829
57478,1269,3.00772
57478,1472,2.48568
57478,1666,2.54251
57478,1829,2.4228
57478,1946,2.27674
57478,1952,2.3259
57478,1999,3.20216
57478,2001,2.25528
57478,2091,1.77243
57478,2152,4.28696
57478,2270,2.58075
57478,2503,2.44978
57478,2513,2.99453
57478,2538,2.42278
57478,2806,6.4006
57478,2921,2.19229
57478,3127,3.97691
57478,3159,5.03433
57478,3211,2.55237
57478,3245,4.79278
57478,3346,2.00129
57478,3363,2.48102
57478,3369,4.87234
57478,3567,1.88185
57478,3653,2.53568
57478,3775,2.47703
57478,4204,2.09156
9477,35,9.2708
9477,563,8.45013
9477,640,8.15258
9477,708,9.8222
9477,914,8.95796
9477,993,6.61329
9477,1157,9.26536
9477,1161,9.83006
9477,1339,9.57169
9477,1493,8.69205
9477,1534,9.30057
9477,1588,9.39126
9477,1628,9.57294
9477,2782,8.82199
9477,63,8.74667
9477,168,8.8846
9477,237,8.64932
9477,248,8.91672
9477,397,6.13984
9477,405,11.36264
9477,425,9.25558
9477,481,9.21657
9477,579,9.08666
9477,650,9.1795
9477,663,9.90546
9477,673,8.64746
9477,766,9.5928
9477,826,13.05519
9477,991,9.25549
9477,1089,8.28448
9477,1096,7.10834
9477,1128,8.48885
9477,1129,5.7633
9477,1269,10.11156
9477,1472,9.50828
9477,1666,9.26328
9477,1829,9.33502
9477,1946,8.81698
9477,1952,9.43081
9477,1999,8.00474
9477,2001,9.35698
9477,2091,8.62269
9477,2152,10.03017
9477,2270,9.64583
9477,2503,9.43971
9477,2513,10.01893
9477,2538,9.35007
9477,2806,7.68301
9477,2921,8.67687
9477,3127,8.30148
9477,3159,6.02906
9477,3211,9.26092
9477,3245,5.79943
9477,3346,8.31086
9477,3363,9.26186
9477,3369,5.86085
9477,3567,8.56699
9477,3653,9.55233
9477,3775,9.28424
9477,4204,8.42629
22485,35,5.08158
22485,563,6.52556
22485,640,6.4061
22485,708,5.82614
22485,914,6.31651
22485,993,8.13862
22485,1157,5.08305
22485,1161,7.13094
22485,1339,5.64734
22485,1493,5.83971
22485,1534,5.99617
22485,1588,6.25995
22485,1628,5.67209
22485,2782,6.33129
22485,63,6.1569
22485,168,5.68502
22485,237,5.64494
22485,248,6.15778
22485,397,8.28424
22485,405,9.33439
22485,425,5.07785
22485,481,4.99005
22485,579,7.64454
22485,650,5.01883
22485,663,5.87034
22485,673,6.61909
22485,766,5.85054
22485,826,12.07294
22485,991,5.06646
22485,1089,6.97081
22485,1096,7.90773
22485,1128,6.5141
22485,1129,8.60821
22485,1269,6.39832
22485,1472,5.59042
22485,1666,5.0725
22485,1829,5.34455
22485,1946,6.62217
22485,1952,5.98761
22485,1999,6.43403
22485,2001,6.00348
22485,2091,6.16864
22485,2152,6.69218
22485,2270,5.76405
22485,2503,5.49967
22485,2513,5.91189
22485,2538,5.37043
22485,2806,10.01727
22485,2921,6.57099
22485,3127,6.9781
22485,3159,8.90895
22485,3211,5.05719
22485,3245,8.72195
22485,3346,6.32907
22485,3363,5.15271
22485,3369,8.78965
22485,3567,5.803
22485,3653,5.59418
22485,3775,5.18713
22485,4204,6.48277
15700,35,0.45826
15700,563,1.9411
15700,640,1.83013
15700,708,1.18936
15700,914,1.71937
15700,993,3.5705
15700,1157,0.46167
15700,1161,2.53445
15700,1339,1.0177
15700,1493,1.25641
15700,1534,1.38613
15700,1588,1.64895
15700,1628,1.04317
15700,2782,1.73811
15700,63,1.56695
15700,168,1.1093
15700,237,1.07895
15700,248,1.5622
15700,397,3.72047
15700,405,4.73672
15700,425,0.45944
15700,481,0.39881
15700,579,3.06434
15700,650,0.43894
15700,663,1.2313
15700,673,2.0296
15700,766,1.22541
15700,826,7.46628
15700,991,0.44744
15700,1089,2.39967
15700,1096,3.34317
15700,1128,1.92879
15700,1129,4.04398
15700,1269,1.76615
15700,1472,0.96288
15700,1666,0.45102
15700,1829,0.72307
15700,1946,2.02871
15700,1952,1.37214
15700,1999,1.86883
15700,2001,1.39121
15700,2091,1.58259
15700,2152,2.08427
15700,2270,1.13397
15700,2503,0.87398
15700,2513,1.26954
15700,2538,0.74823
15700,2806,5.45322
15700,2921,1.98094
15700,3127,2.40674
15700,3159,4.34483
15700,3211,0.43525
15700,3245,4.15734
15700,3346,1.7501
15700,3363,0.53554
15700,3369,4.22517
15700,3567,1.22662
15700,3653,0.96391
15700,3775,0.56688
15700,4204,1.8992
60584,35,3.46813
60584,563,4.28862
60584,640,4.3891
60584,708,2.89314
60584,914,3.84211
60584,993,6.25964
60584,1157,3.4679
60584,1161,5.69062
60584,1339,2.91359
60584,1493,3.78364
60584,1534,3.34893
60584,1588,3.52183
60584,1628,2.90061
60584,2782,3.93619
60584,63,3.86815
60584,168,4.32924
60584,237,4.24415
60584,248,3.75179
60584,397,6.66177
60584,405,7.87182
60584,425,3.47506
60584,481,3.56495
60584,579,6.28614
60584,650,3.57206
60584,663,2.98188
60584,673,4.25751
60584,766,2.95576
60584,826,9.26357
60584,991,3.48501
60584,1089,5.60084
60584,1096,6.42689
60584,1128,4.25956
60584,1129,6.92602
60584,1269,3.37345
60584,1472,2.98202
60584,1666,3.4778
60584,1829,3.23202
60584,1946,4.17521
60584,1952,3.23374
60584,1999,4.9956
60584,2001,3.30865
60584,2091,3.95998
60584,2152,5.1543
60584,2270,2.8236
60584,2503,3.07435
60584,2513,3.12657
60584,2538,3.20641
60584,2806,8.49124
60584,2921,4.2035
60584,3127,5.60928
60584,3159,7.2324
60584,3211,3.4922
60584,3245,7.00734
60584,3346,4.24991
60584,3363,3.41063
60584,3369,7.08371
60584,3567,3.90007
60584,3653,2.95895
60584,3775,3.37375
60584,4204,4.27216
25697,35,1.41644
25697,563,2.91338
25697,640,2.81482
25697,708,2.162
25697,914,2.68081
25697,993,4.57294
25697,1157,1.41903
25697,1161,3.61974
25697,1339,1.9815
25697,1493,2.23093
25697,1534,2.34315
25697,1588,2.60589
25697,1628,2.00633
25697,2782,2.7022
25697,63,2.53385
25697,168,2.1826
25697,237,2.1323
25697,248,2.52469
25697,397,4.74778
25697,405,5.82211
25697,425,1.41634
25697,481,1.42076
25697,579,4.14231
25697,650,1.44737
25697,663,2.20803
25697,673,2.99661
25697,766,2.18584
25697,826,8.4237
25697,991,1.40434
25697,1089,3.46578
25697,1096,4.38804
25697,1128,2.9001
25697,1129,5.06533
25697,1269,2.73249
25697,1472,1.9249
25697,1666,1.40829
25697,1829,1.68142
25697,1946,2.99245
25697,1952,2.32921
25697,1999,2.91786
25697,2001,2.34811
25697,2091,2.55335
25697,2152,3.16827
25697,2270,2.09819
25697,2503,1.83465
25697,2513,2.25431
25697,2538,1.7069
25697,2806,6.49352
25697,2921,2.94746
25697,3127,3.47325
25697,3159,5.36712
25697,3211,1.39243
25697,3245,5.17557
25697,3346,2.72993
25697,3363,1.49248
25697,3369,5.24435
25697,3567,2.21163
25697,3653,1.9283
25697,3775,1.52448
25697,4204,2.87256
57449,35,3.19406
57449,563,2.10638
57449,640,1.9622
57449,708,3.46211
57449,914,2.49376
57449,993,3.80725
57449,1157,3.18735
57449,1161,5.08445
57449,1339,3.22975
57449,1493,2.36058
57449,1534,2.83968
57449,1588,2.91453
57449,1628,3.22089
57449,2782,2.36235
57449,63,2.27109
57449,168,3.48734
57449,237,3.17393
57449,248,2.43976
57449,397,4.40645
57449,405,7.23435
57449,425,3.18069
57449,481,3.20061
57449,579,5.16077
57449,650,3.16154
57449,663,3.55093
57449,673,2.33673
57449,766,3.18132
57449,826,7.93792
57449,991,3.18784
57449,1089,4.21228
57449,1096,4.46503
57449,1128,2.12938
57449,1129,4.58737
57449,1269,3.64669
57449,1472,3.18026
57449,1666,3.19198
57449,1829,3.10663
57449,1946,2.47662
57449,1952,2.97562
57449,1999,3.42138
57449,2001,2.89647
57449,2091,2.15078
57449,2152,4.8299
57449,2270,3.27061
57449,2503,3.14332
