order_id,worker_id,estimated_profit
51407,1873,38.31017
51407,3159,40.49638
51407,693,39.32934
51407,92,39.55118
51407,4215,39.61773
51407,770,39.3823
51407,2192,39.61605
51407,149,39.5549
51407,1534,40.46431
51407,732,39.57366
51407,3503,39.56956
51407,1486,39.21779
51407,2956,39.93724
51407,2270,39.39654
35355,1873,40.33259
35355,3159,45.34503
35355,693,46.30924
35355,92,45.76502
35355,4215,46.53758
35355,770,46.30569
35355,2192,46.53501
35355,149,46.64951
35355,1534,45.34093
35355,732,46.6374
35355,3503,46.62451
35355,1486,46.14623
35355,2956,45.86688
35355,2270,46.43577
9787,1873,37.74031
9787,3159,42.75275
9787,693,43.71696
9787,92,43.17274
9787,4215,43.9453
9787,770,43.71341
9787,2192,43.94273
9787,149,44.05723
9787,1534,42.74865
9787,732,44.04513
9787,3503,44.03224
9787,1486,43.55395
9787,2956,43.2746
9787,2270,43.84349
41827,1873,40.89383
41827,3159,45.90627
41827,693,46.87048
41827,92,46.32626
41827,4215,47.09882
41827,770,46.86693
41827,2192,47.09625
41827,149,47.21075
41827,1534,45.90217
41827,732,47.19864
41827,3503,47.18575
41827,1486,46.70747
41827,2956,46.42812
41827,2270,46.997
41832,1873,40.52375
41832,3159,45.53619
41832,693,46.50039
41832,92,45.95617
41832,4215,46.72874
41832,770,46.49684
41832,2192,46.72616
41832,149,46.84066
41832,1534,45.53208
41832,732,46.82856
41832,3503,46.81567
41832,1486,46.33739
41832,2956,46.05803
41832,2270,46.62692
29016,1873,39.24785
29016,3159,44.26029
29016,693,45.2245
29016,92,44.68027
29016,4215,45.45284
29016,770,45.22095
29016,2192,45.45026
29016,149,45.56477
29016,1534,44.25619
29016,732,45.55266
29016,3503,45.53977
29016,1486,45.06149
29016,2956,44.78214
29016,2270,45.35102
45143,1873,40.85732
45143,3159,45.86976
45143,693,46.83396
45143,92,46.28974
45143,4215,47.06231
45143,770,46.83041
45143,2192,47.05973
45143,149,47.17423
45143,1534,45.86565
45143,732,47.16213
45143,3503,47.14924
45143,1486,46.67096
45143,2956,46.3916
45143,2270,46.96049
162,1873,38.32627
162,3159,43.3387
162,693,44.30291
162,92,43.75869
162,4215,44.53125
162,770,44.29936
162,2192,44.52868
162,149,44.64318
162,1534,43.3346
162,732,44.63108
162,3503,44.61819
162,1486,44.13991
162,2956,43.86055
162,2270,44.42944
26009,1873,39.56495
26009,3159,44.57739
26009,693,45.54159
26009,92,44.99737
26009,4215,45.76994
26009,770,45.53804
26009,2192,45.76736
26009,149,45.88186
26009,1534,44.57328
26009,732,45.86976
26009,3503,45.85687
26009,1486,45.37859
26009,2956,45.09923
26009,2270,45.66812
61078,1873,43.07848
61078,3159,48.09092
61078,693,49.05513
61078,92,48.51091
61078,4215,49.28347
61078,770,49.05158
61078,2192,49.2809
61078,149,49.3954
61078,1534,48.08682
61078,732,49.3833
61078,3503,49.37041
61078,1486,48.89212
61078,2956,48.61277
61078,2270,49.18166
48505,1873,37.59128
48505,3159,42.60372
48505,693,43.56792
48505,92,43.0237
48505,4215,43.79627
48505,770,43.56437
48505,2192,43.79369
48505,149,43.90819
48505,1534,42.59961
48505,732,43.89609
48505,3503,43.8832
48505,1486,43.40492
48505,2956,43.12556
48505,2270,43.69445
48524,1873,42.55646
48524,3159,47.5689
48524,693,48.53311
48524,92,47.98889
48524,4215,48.76145
48524,770,48.52956
48524,2192,48.75888
48524,149,48.87338
48524,1534,47.5648
48524,732,48.86128
48524,3503,48.84839
48524,1486,48.3701
48524,2956,48.09075
48524,2270,48.65964
13200,1873,42.1985
13200,3159,47.21094
13200,693,48.17514
13200,92,47.63092
13200,4215,48.40349
13200,770,48.17159
13200,2192,48.40091
13200,149,48.51541
13200,1534,47.20683
13200,732,48.50331
13200,3503,48.49042
13200,1486,48.01214
13200,2956,47.73278
13200,2270,48.30167
57982,1873,41.71558
57982,3159,46.72802
57982,693,47.69223
57982,92,47.14801
57982,4215,47.92057
57982,770,47.68868
57982,2192,47.918
57982,149,48.0325
57982,1534,46.72392
57982,732,48.0204
57982,3503,48.00751
57982,1486,47.52922
57982,2956,47.24987
57982,2270,47.81876
