order_id,pickup_location,delivery_location,ready_time,fetch_time
51407,op_51407_wy_52214,od_51407_wy_52214,1665967141,1665968284
35355,op_35355_wy_35735,od_35355_wy_35735,1665976613,1665977399
9787,op_9787_wy_9815,od_9787_wy_9815,1665979893,1665980520
41827,op_41827_wy_42364,od_41827_wy_42364,1665981328,1665981607
41832,op_41832_wy_42369,od_41832_wy_42369,1665981946,1665982224
29016,op_29016_wy_29286,od_29016_wy_29286,1665982106,1665982684
45143,op_45143_wy_45774,od_45143_wy_45774,1665982509,1665982889
162,op_162_wy_162,od_162_wy_162,1665982988,1665983735
26009,op_26009_wy_26229,od_26009_wy_26229,1666001057,1666001782
61078,op_61078_wy_62249,od_61078_wy_62249,1666004655,1666005058
48505,op_48505_wy_49230,od_48505_wy_49230,1666006218,1666006580
48524,op_48524_wy_49249,od_48524_wy_49249,1666008194,1666008616
13200,op_13200_wy_13250,od_13200_wy_13250,1666008425,1666009012
57982,op_57982_wy_59026,od_57982_wy_59026,1666010573,1666010940
