order_id,worker_id,delivery_cost
19595,149,4.91765
19595,182,4.99393
19595,191,4.98628
19595,210,5.07246
19595,443,5.59931
19595,475,5.28682
19595,708,4.91369
19595,813,4.8993
19595,835,5.71916
19595,878,4.90858
19595,965,6.05633
19595,1125,4.60351
19595,1216,5.99784
19595,1219,6.79209
19595,1261,4.88374
19595,1348,4.96102
19595,1367,4.9143
19595,1628,5.12191
19595,1892,4.96009
19595,1991,5.72306
6772,149,4.53656
6772,182,4.44884
6772,191,4.46296
6772,210,4.39732
6772,443,5.78211
6772,475,5.50997
6772,708,4.53205
6772,813,4.54289
6772,835,5.72178
6772,878,4.54265
6772,965,5.90826
6772,1125,4.86542
6772,1216,5.97992
6772,1219,6.7313
6772,1261,4.5602
6772,1348,4.4804
6772,1367,5.22829
6772,1628,4.47953
6772,1892,5.16758
6772,1991,5.73244
9705,149,5.23164
9705,182,5.14551
9705,191,5.16595
9705,210,5.19592
9705,443,6.48531
9705,475,6.20761
9705,708,5.22345
9705,813,5.23256
9705,835,6.44666
9705,878,5.23601
9705,965,6.65592
9705,1125,5.5545
9705,1216,6.70947
9705,1219,7.47018
9705,1261,5.25026
9705,1348,5.17078
9705,1367,5.91767
9705,1628,5.28133
9705,1892,5.86387
9705,1991,6.45652
63942,149,4.99518
63942,182,4.90664
63942,191,4.92229
63942,210,4.85828
63942,443,6.24315
63942,475,5.96997
63942,708,4.98923
63942,813,4.99882
63942,835,6.18334
63942,878,5.00072
63942,965,6.36758
63942,1125,5.32009
63942,1216,6.44118
63942,1219,7.19163
63942,1261,5.01651
63942,1348,4.93683
63942,1367,5.68362
63942,1628,4.93351
63942,1892,5.62717
63942,1991,6.19403
57753,149,0.78125
57753,182,0.69271
57753,191,0.70836
57753,210,0.64436
57753,443,2.02922
57753,475,1.75604
57753,708,0.7753
57753,813,0.78489
57753,835,1.96941
57753,878,0.7868
57753,965,2.15365
57753,1125,1.10616
57753,1216,2.22725
57753,1219,2.9777
57753,1261,0.80258
57753,1348,0.7229
57753,1367,1.46969
57753,1628,0.71958
57753,1892,1.41324
57753,1991,1.9801
16348,149,1.12044
16348,182,1.0319
16348,191,1.04755
16348,210,0.98354
16348,443,2.36841
16348,475,2.09523
16348,708,1.11449
16348,813,1.12407
16348,835,2.3086
16348,878,1.12598
16348,965,2.49283
16348,1125,1.44535
16348,1216,2.56644
16348,1219,3.31689
16348,1261,1.14177
16348,1348,1.06209
16348,1367,1.80888
16348,1628,1.05877
16348,1892,1.75243
16348,1991,2.31929
32257,149,5.76454
32257,182,5.67841
32257,191,5.69885
32257,210,5.72881
32257,443,7.0182
32257,475,6.74051
32257,708,5.75635
32257,813,5.76546
32257,835,6.97956
32257,878,5.7689
32257,965,7.18882
32257,1125,6.08739
32257,1216,7.24237
32257,1219,8.00308
32257,1261,5.78316
32257,1348,5.70368
32257,1367,6.45057
32257,1628,5.81422
32257,1892,6.39677
32257,1991,6.98942
38584,149,3.03237
38584,182,2.94624
38584,191,2.96669
38584,210,2.99665
38584,443,4.28604
38584,475,4.00834
38584,708,3.02418
38584,813,3.03329
38584,835,4.2474
38584,878,3.03674
38584,965,4.45666
38584,1125,3.35523
38584,1216,4.51021
38584,1219,5.27091
38584,1261,3.05099
38584,1348,2.97152
38584,1367,3.7184
38584,1628,3.08206
38584,1892,3.66461
38584,1991,4.25725
60925,149,3.14682
60925,182,3.19192
60925,191,3.17239
60925,210,3.18354
60925,443,2.87442
60925,475,2.95409
60925,708,3.16778
60925,813,3.18002
60925,835,2.3634
60925,878,3.15219
60925,965,2.0065
60925,1125,3.18074
60925,1216,2.35034
60925,1219,2.84164
60925,1261,3.17103
60925,1348,3.19165
60925,1367,3.22252
60925,1628,3.108
60925,1892,2.95724
60925,1991,2.38046
57718,149,2.80112
57718,182,2.84622
57718,191,2.82669
57718,210,2.83785
57718,443,2.52872
57718,475,2.6084
57718,708,2.82209
57718,813,2.83432
57718,835,2.01771
57718,878,2.80649
57718,965,1.6608
57718,1125,2.83504
57718,1216,2.00465
57718,1219,2.49594
57718,1261,2.82534
57718,1348,2.84595
57718,1367,2.87683
57718,1628,2.7623
57718,1892,2.61155
57718,1991,2.03476
57704,149,3.93883
57704,182,3.85029
57704,191,3.86595
57704,210,3.80194
57704,443,5.1868
57704,475,4.91362
57704,708,3.93288
57704,813,3.94247
57704,835,5.12699
57704,878,3.94438
57704,965,5.31123
57704,1125,4.26374
57704,1216,5.38483
57704,1219,6.13528
57704,1261,3.96016
57704,1348,3.88048
57704,1367,4.62728
57704,1628,3.87716
57704,1892,4.57082
57704,1991,5.13768
29232,149,3.09933
29232,182,3.14356
29232,191,3.12411
29232,210,3.13432
29232,443,2.84226
29232,475,2.9186
29232,708,3.12032
29232,813,3.13272
29232,835,2.33215
29232,878,3.1048
29232,965,1.97661
29232,1125,3.13714
29232,1216,2.32184
29232,1219,2.8088
29232,1261,3.12391
29232,1348,3.14366
29232,1367,3.18296
29232,1628,3.05818
29232,1892,2.91745
29232,1991,2.34934
51624,149,6.79057
51624,182,6.83567
51624,191,6.81614
51624,210,6.8273
51624,443,6.51817
51624,475,6.59785
51624,708,6.81153
51624,813,6.82377
51624,835,6.00716
51624,878,6.79594
51624,965,5.65025
51624,1125,6.82449
51624,1216,5.99409
51624,1219,6.48539
51624,1261,6.81479
51624,1348,6.8354
51624,1367,6.86627
51624,1628,6.75175
51624,1892,6.601
51624,1991,6.02421
54618,149,4.6314
54618,182,4.67909
54618,191,4.65934
54618,210,4.67359
54618,443,4.35002
54618,475,4.42385
54618,708,4.65226
54618,813,4.66403
54618,835,3.84267
54618,878,4.63648
54618,965,3.55863
54618,1125,4.65598
54618,1216,3.8571
54618,1219,4.40575
54618,1261,4.65454
54618,1348,4.67769
54618,1367,4.69243
54618,1628,4.60018
54618,1892,4.42736
54618,1991,3.86028
60871,149,1.33504
60871,182,1.24651
60871,191,1.26216
60871,210,1.19815
60871,443,2.58301
60871,475,2.30983
60871,708,1.32909
60871,813,1.33868
60871,835,2.5232
60871,878,1.34059
60871,965,2.70744
60871,1125,1.65995
60871,1216,2.78104
60871,1219,3.53149
60871,1261,1.35637
60871,1348,1.27669
60871,1367,2.02349
60871,1628,1.27337
60871,1892,1.96703
60871,1991,2.53389
57791,149,4.76859
57791,182,4.68246
57791,191,4.70291
57791,210,4.73287
57791,443,6.02226
57791,475,5.74456
57791,708,4.7604
57791,813,4.76951
57791,835,5.98361
57791,878,4.77296
57791,965,6.19288
57791,1125,5.09145
57791,1216,6.24642
57791,1219,7.00713
57791,1261,4.78721
57791,1348,4.70773
57791,1367,5.45462
57791,1628,4.81828
57791,1892,5.40083
57791,1991,5.99347
9981,149,2.89769
9981,182,2.80997
9981,191,2.82409
9981,210,2.75845
9981,443,4.14324
9981,475,3.8711
9981,708,2.89318
9981,813,2.90402
9981,835,4.08291
9981,878,2.90378
9981,965,4.26939
9981,1125,3.22655
9981,1216,4.34105
9981,1219,5.09243
9981,1261,2.92133
9981,1348,2.84153
9981,1367,3.58942
9981,1628,2.84066
9981,1892,3.52871
9981,1991,4.09357
10005,149,5.5215
10005,182,5.43537
