order_id,worker_id,estimated_profit
19595,149,10.08235
19595,182,10.00607
19595,191,10.01372
19595,210,9.92754
19595,443,9.40069
19595,475,9.71318
19595,708,10.08631
19595,813,10.1007
19595,835,9.28084
19595,878,10.09142
19595,965,8.94367
19595,1125,10.39649
19595,1216,9.00216
19595,1219,8.20791
19595,1261,10.11626
19595,1348,10.03898
19595,1367,10.0857
19595,1628,9.87809
19595,1892,10.03991
19595,1991,9.27694
6772,149,10.46344
6772,182,10.55116
6772,191,10.53704
6772,210,10.60268
6772,443,9.21789
6772,475,9.49003
6772,708,10.46795
6772,813,10.45711
6772,835,9.27822
6772,878,10.45735
6772,965,9.09174
6772,1125,10.13458
6772,1216,9.02008
6772,1219,8.2687
6772,1261,10.4398
6772,1348,10.5196
6772,1367,9.77171
6772,1628,10.52047
6772,1892,9.83242
6772,1991,9.26756
9705,149,9.76836
9705,182,9.85449
9705,191,9.83405
9705,210,9.80408
9705,443,8.51469
9705,475,8.79239
9705,708,9.77655
9705,813,9.76744
9705,835,8.55334
9705,878,9.76399
9705,965,8.34408
9705,1125,9.4455
9705,1216,8.29053
9705,1219,7.52982
9705,1261,9.74974
9705,1348,9.82922
9705,1367,9.08233
9705,1628,9.71867
9705,1892,9.13613
9705,1991,8.54348
63942,149,10.00482
63942,182,10.09336
63942,191,10.07771
63942,210,10.14172
63942,443,8.75685
63942,475,9.03003
63942,708,10.01077
63942,813,10.00118
63942,835,8.81666
63942,878,9.99928
63942,965,8.63242
63942,1125,9.67991
63942,1216,8.55882
63942,1219,7.80837
63942,1261,9.98349
63942,1348,10.06317
63942,1367,9.31638
63942,1628,10.06649
63942,1892,9.37283
63942,1991,8.80597
57753,149,14.21875
57753,182,14.30729
57753,191,14.29164
57753,210,14.35564
57753,443,12.97078
57753,475,13.24396
57753,708,14.2247
57753,813,14.21511
57753,835,13.03059
57753,878,14.2132
57753,965,12.84635
57753,1125,13.89384
57753,1216,12.77275
57753,1219,12.0223
57753,1261,14.19742
57753,1348,14.2771
57753,1367,13.53031
57753,1628,14.28042
57753,1892,13.58676
57753,1991,13.0199
16348,149,13.87956
16348,182,13.9681
16348,191,13.95245
16348,210,14.01646
16348,443,12.63159
16348,475,12.90477
16348,708,13.88551
16348,813,13.87593
16348,835,12.6914
16348,878,13.87402
16348,965,12.50717
16348,1125,13.55465
16348,1216,12.43356
16348,1219,11.68311
16348,1261,13.85823
16348,1348,13.93791
16348,1367,13.19112
16348,1628,13.94123
16348,1892,13.24757
16348,1991,12.68071
32257,149,9.23546
32257,182,9.32159
32257,191,9.30115
32257,210,9.27119
32257,443,7.9818
32257,475,8.25949
32257,708,9.24365
32257,813,9.23454
32257,835,8.02044
32257,878,9.2311
32257,965,7.81118
32257,1125,8.91261
32257,1216,7.75763
32257,1219,6.99692
32257,1261,9.21684
32257,1348,9.29632
32257,1367,8.54943
32257,1628,9.18578
32257,1892,8.60323
32257,1991,8.01058
38584,149,11.96763
38584,182,12.05376
38584,191,12.03331
38584,210,12.00335
38584,443,10.71396
38584,475,10.99166
38584,708,11.97582
38584,813,11.96671
38584,835,10.7526
38584,878,11.96326
38584,965,10.54334
38584,1125,11.64477
38584,1216,10.48979
38584,1219,9.72909
38584,1261,11.94901
38584,1348,12.02848
38584,1367,11.2816
38584,1628,11.91794
38584,1892,11.33539
38584,1991,10.74275
60925,149,11.85318
60925,182,11.80808
60925,191,11.82761
60925,210,11.81646
60925,443,12.12558
60925,475,12.04591
60925,708,11.83222
60925,813,11.81998
60925,835,12.6366
60925,878,11.84781
60925,965,12.9935
60925,1125,11.81926
60925,1216,12.64966
60925,1219,12.15836
60925,1261,11.82897
60925,1348,11.80835
60925,1367,11.77748
60925,1628,11.892
60925,1892,12.04276
60925,1991,12.61954
57718,149,12.19888
57718,182,12.15378
57718,191,12.17331
57718,210,12.16215
57718,443,12.47128
57718,475,12.3916
57718,708,12.17791
57718,813,12.16568
57718,835,12.98229
