order_id,worker_id,service_time,delivery_cost,estimated_profit
60495,35,13.0834,1.32613,13.67387
6144,563,24.95943,3.65387,11.34613
47950,640,11.02333,0.96989,14.03011
25636,708,19.38389,2.12346,12.87654
57478,914,17.71754,2.0652,12.9348
9477,993,40.25933,6.61329,8.38671
22485,1157,26.31781,5.08305,9.91695
15700,1161,27.54524,2.53445,12.46555
60584,1339,21.57016,2.91359,12.08641
25697,1493,20.77781,2.23093,12.76907
57449,1534,29.80341,2.83968,12.16032
41302,1588,38.16647,2.36829,12.63171
54448,1628,36.51268,4.48685,10.51315
19124,2782,31.84545,3.6156,11.3844
51282,63,20.76723,1.75402,13.24598
22266,168,24.82259,1.52972,13.47028
25641,237,16.63573,2.04223,12.95777
60550,248,23.47396,2.54893,12.45107
41639,397,56.71694,9.85451,5.14549
47986,405,43.60308,5.20016,9.79984
54357,425,29.4632,4.3703,10.6297
15689,481,16.54206,2.35481,12.64519
63577,579,20.73737,1.78594,13.21406
35068,650,20.70773,3.82847,11.17153
9541,663,32.57823,3.34714,11.65286
63885,673,38.32397,6.23559,8.76441
31695,766,25.30181,1.71542,13.28458
6036,826,57.39134,8.47965,6.52035
44672,991,34.691,3.29568,11.70432
47883,1089,67.06901,12.07555,2.92445
35226,1096,37.27794,5.24874,9.75126
38096,1128,54.73385,9.75345,5.24655
6383,1129,61.82911,9.54624,5.45376
63850,1269,20.53152,0.77346,14.22654
60529,1472,29.11643,4.29328,10.70672
9410,1666,24.76402,3.88438,11.11562
44930,1829,45.15061,6.97292,8.02708
38243,1946,21.62687,4.00794,10.99206
35115,1952,41.75119,5.1375,9.8625
3085,1999,19.20474,2.78166,12.21834
51334,2001,102.42748,20.74586,-5.74586
22138,2091,42.83132,3.83786,11.16214
9471,2152,30.06983,3.99463,11.00537
35067,2270,38.45161,6.81371,8.18629
25425,2503,35.30741,5.86228,9.13772
28605,2513,46.13376,8.08899,6.91101
12499,2538,29.19629,3.40969,11.59031
31914,2806,67.06107,11.13258,3.86742
28614,2921,28.59094,3.809,11.191
35038,3127,62.2268,12.72681,2.27319
41459,3159,33.45883,5.60984,9.39016
31700,3211,8.79057,1.04002,13.95998
28583,3245,33.37241,3.61801,11.38199
22328,3346,37.6922,5.7654,9.2346
63569,3363,19.33596,2.35728,12.64272
9311,3369,46.10253,7.9417,7.0583
19104,3567,36.62873,6.17837,8.82163
22402,3653,19.76246,2.76402,12.23598
25665,3775,24.51497,2.72571,12.27429
25479,4204,17.10919,0.79937,14.20063
