order_id,worker_id,service_time,delivery_cost,estimated_profit
51407,3159,57.78759,9.50362,40.49638
35355,1873,52.50519,9.66741,40.33259
9787,693,36.06022,6.28304,43.71696
41827,92,19.6245,3.67374,46.32626
41832,4215,17.96729,3.27126,46.72874
29016,770,29.11317,4.77905,45.22095
45143,2192,18.31812,2.94027,47.05973
162,149,34.28486,5.35682,44.64318
26009,1534,34.2031,5.42672,44.57328
61078,732,9.23041,0.6167,49.3833
48505,3503,30.96596,6.1168,43.8832
48524,1486,13.67693,1.6299,48.3701
13200,2956,19.0247,2.26722,47.73278
57982,2270,15.00761,2.18124,47.81876
