location_id,x,y
op_58062_wy_59107,174526998,45905899
op_26181_wy_26406,174526998,45905899
op_10161_wy_10190,174542450,45919700
op_55051_wy_55989,174526998,45905899
op_13398_wy_13453,174526998,45905899
op_45578_wy_46220,174526998,45905899
op_16625_wy_16726,174526998,45905899
op_58236_wy_59294,174542450,45919700
op_7020_wy_7037,174542450,45919700
op_7039_wy_7056,174526998,45905899
op_13468_wy_13523,174542450,45919700
op_629_wy_629,174526998,45905899
op_29526_wy_29801,174542450,45919700
od_58062_wy_59107,174527308,45911039
od_26181_wy_26406,174539037,45887292
od_10161_wy_10190,174542791,45919091
od_55051_wy_55989,174534973,45889409
od_13398_wy_13453,174530199,45921263
od_45578_wy_46220,174543569,45901022
od_16625_wy_16726,174534462,45916880
od_58236_wy_59294,174555052,45935577
od_7020_wy_7037,174537582,45940155
od_7039_wy_7056,174540769,45916763
od_13468_wy_13523,174517716,45930392
od_629_wy_629,174527117,45910260
od_29526_wy_29801,174557773,45934156
wo_719_wy_59107,174530540,45906015
wo_3677_wy_26406,174526527,45905983
wo_1365_wy_10190,174542763,45921238
wo_2691_wy_55989,174524844,45909749
wo_1121_wy_13453,174525357,45911098
wo_1493_wy_46220,174525463,45904571
wo_770_wy_16726,174527272,45905919
wo_1533_wy_59294,174541585,45919531
wo_1533_wy_7037,174542444,45920744
wo_2847_wy_7056,174525512,45903046
wo_3335_wy_13523,174541736,45919913
wo_565_wy_629,174527570,45906635
wo_1973_wy_29801,174542042,45921162
