order_id,pickup_location,delivery_location,ready_time,fetch_time
58062,op_58062_wy_59107,od_58062_wy_59107,1666059535,1666060294
26181,op_26181_wy_26406,od_26181_wy_26406,1666062351,1666063027
10161,op_10161_wy_10190,od_10161_wy_10190,1666064214,1666064833
55051,op_55051_wy_55989,od_55051_wy_55989,1666066276,1666066878
13398,op_13398_wy_13453,od_13398_wy_13453,1666069633,1666070319
45578,op_45578_wy_46220,od_45578_wy_46220,1666072093,1666072701
16625,op_16625_wy_16726,od_16625_wy_16726,1666076562,1666077433
58236,op_58236_wy_59294,od_58236_wy_59294,1666078780,1666079475
7020,op_7020_wy_7037,od_7020_wy_7037,1666084208,1666085224
7039,op_7039_wy_7056,od_7039_wy_7056,1666085822,1666086562
13468,op_13468_wy_13523,od_13468_wy_13523,1666085565,1666086577
629,op_629_wy_629,od_629_wy_629,1666087319,1666087895
29526,op_29526_wy_29801,od_29526_wy_29801,1666088290,1666089309
