order_id,worker_id,delivery_cost
51407,1873,11.68983
51407,3159,9.50362
51407,693,10.67066
51407,92,10.44882
51407,4215,10.38227
51407,770,10.6177
51407,2192,10.38395
51407,149,10.4451
51407,1534,9.53569
51407,732,10.42634
51407,3503,10.43044
51407,1486,10.78221
51407,2956,10.06276
51407,2270,10.60346
35355,1873,9.66741
35355,3159,4.65497
35355,693,3.69076
35355,92,4.23498
35355,4215,3.46242
35355,770,3.69431
35355,2192,3.46499
35355,149,3.35049
35355,1534,4.65907
35355,732,3.3626
35355,3503,3.37549
35355,1486,3.85377
35355,2956,4.13312
35355,2270,3.56423
9787,1873,12.25969
9787,3159,7.24725
9787,693,6.28304
9787,92,6.82726
9787,4215,6.0547
9787,770,6.28659
9787,2192,6.05727
9787,149,5.94277
9787,1534,7.25135
9787,732,5.95487
9787,3503,5.96776
9787,1486,6.44605
9787,2956,6.7254
9787,2270,6.15651
41827,1873,9.10617
41827,3159,4.09373
41827,693,3.12952
41827,92,3.67374
41827,4215,2.90118
41827,770,3.13307
41827,2192,2.90375
41827,149,2.78925
41827,1534,4.09783
41827,732,2.80136
41827,3503,2.81425
41827,1486,3.29253
41827,2956,3.57188
41827,2270,3.003
41832,1873,9.47625
41832,3159,4.46381
41832,693,3.49961
41832,92,4.04383
41832,4215,3.27126
41832,770,3.50316
41832,2192,3.27384
41832,149,3.15934
41832,1534,4.46792
41832,732,3.17144
41832,3503,3.18433
41832,1486,3.66261
41832,2956,3.94197
41832,2270,3.37308
29016,1873,10.75215
29016,3159,5.73971
29016,693,4.7755
29016,92,5.31973
29016,4215,4.54716
29016,770,4.77905
29016,2192,4.54974
29016,149,4.43523
29016,1534,5.74381
29016,732,4.44734
29016,3503,4.46023
29016,1486,4.93851
29016,2956,5.21786
29016,2270,4.64898
45143,1873,9.14268
45143,3159,4.13024
45143,693,3.16604
45143,92,3.71026
45143,4215,2.93769
45143,770,3.16959
45143,2192,2.94027
45143,149,2.82577
45143,1534,4.13435
45143,732,2.83787
45143,3503,2.85076
45143,1486,3.32904
45143,2956,3.6084
45143,2270,3.03951
162,1873,11.67373
162,3159,6.6613
162,693,5.69709
162,92,6.24131
162,4215,5.46875
162,770,5.70064
162,2192,5.47132
162,149,5.35682
162,1534,6.6654
162,732,5.36892
162,3503,5.38181
162,1486,5.86009
162,2956,6.13945
162,2270,5.57056
26009,1873,10.43505
26009,3159,5.42261
26009,693,4.45841
26009,92,5.00263
26009,4215,4.23006
26009,770,4.46196
26009,2192,4.23264
26009,149,4.11814
26009,1534,5.42672
26009,732,4.13024
26009,3503,4.14313
26009,1486,4.62141
26009,2956,4.90077
26009,2270,4.33188
61078,1873,6.92152
61078,3159,1.90908
61078,693,0.94487
61078,92,1.48909
61078,4215,0.71653
61078,770,0.94842
61078,2192,0.7191
61078,149,0.6046
61078,1534,1.91318
61078,732,0.6167
61078,3503,0.62959
61078,1486,1.10788
61078,2956,1.38723
61078,2270,0.81834
48505,1873,12.40872
48505,3159,7.39628
48505,693,6.43208
48505,92,6.9763
48505,4215,6.20373
48505,770,6.43563
48505,2192,6.20631
48505,149,6.09181
48505,1534,7.40039
48505,732,6.10391
48505,3503,6.1168
48505,1486,6.59508
48505,2956,6.87444
48505,2270,6.30555
48524,1873,7.44354
48524,3159,2.4311
48524,693,1.46689
48524,92,2.01111
48524,4215,1.23855
48524,770,1.47044
48524,2192,1.24112
48524,149,1.12662
48524,1534,2.4352
48524,732,1.13872
48524,3503,1.15161
48524,1486,1.6299
48524,2956,1.90925
48524,2270,1.34036
13200,1873,7.8015
13200,3159,2.78906
13200,693,1.82486
13200,92,2.36908
13200,4215,1.59651
13200,770,1.82841
13200,2192,1.59909
13200,149,1.48459
13200,1534,2.79317
13200,732,1.49669
13200,3503,1.50958
13200,1486,1.98786
13200,2956,2.26722
13200,2270,1.69833
57982,1873,8.28442
57982,3159,3.27198
57982,693,2.30777
57982,92,2.85199
57982,4215,2.07943
57982,770,2.31132
57982,2192,2.082
57982,149,1.9675
57982,1534,3.27608
57982,732,1.9796
57982,3503,1.99249
57982,1486,2.47078
57982,2956,2.75013
57982,2270,2.18124
