order_id,worker_id,service_time
51407,1873,84.84639
51407,3159,72.5413
51407,693,79.11001
51407,92,77.86135
51407,4215,77.48679
51407,770,78.81193
51407,2192,77.49626
51407,149,77.84042
51407,1534,72.72183
51407,732,77.73485
51407,3503,77.7579
51407,1486,79.73785
51407,2956,75.68842
51407,2270,78.73177
35355,1873,67.51317
35355,3159,39.30056
35355,693,33.87351
35355,92,36.93667
35355,4215,32.58828
35355,770,33.89349
35355,2192,32.60278
35355,149,31.9583
35355,1534,39.32366
35355,732,32.02643
35355,3503,32.09898
35355,1486,34.79099
35355,2956,36.36334
35355,2270,33.16136
9787,1873,79.45386
9787,3159,51.24125
9787,693,45.8142
9787,92,48.87736
9787,4215,44.52896
9787,770,45.83418
9787,2192,44.54346
9787,149,43.89899
9787,1534,51.26434
9787,732,43.96712
9787,3503,44.03967
9787,1486,46.73168
9787,2956,48.30403
9787,2270,45.10205
41827,1873,55.90422
41827,3159,27.69162
41827,693,22.26457
41827,92,25.32773
41827,4215,20.97933
41827,770,22.28454
41827,2192,20.99383
41827,149,20.34935
41827,1534,27.71471
41827,732,20.41749
41827,3503,20.49004
41827,1486,23.18205
41827,2956,24.75439
41827,2270,21.55241
41832,1873,57.97059
41832,3159,29.75799
41832,693,24.33094
41832,92,27.3941
41832,4215,23.0457
41832,770,24.35091
41832,2192,23.0602
41832,149,22.41573
41832,1534,29.78108
41832,732,22.48386
41832,3503,22.55641
41832,1486,25.24842
41832,2956,26.82076
41832,2270,23.61879
29016,1873,70.152
29016,3159,41.9394
29016,693,36.51235
29016,92,39.57551
29016,4215,35.22711
29016,770,36.53232
29016,2192,35.24161
29016,149,34.59713
29016,1534,41.96249
29016,732,34.66526
29016,3503,34.73781
29016,1486,37.42983
29016,2956,39.00217
29016,2270,35.80019
45143,1873,57.79308
45143,3159,29.58048
45143,693,24.15343
45143,92,27.21659
45143,4215,22.86819
45143,770,24.1734
45143,2192,22.88269
45143,149,22.23821
45143,1534,29.60357
45143,732,22.30634
45143,3503,22.37889
45143,1486,25.07091
45143,2956,26.64325
45143,2270,23.44127
162,1873,78.15582
162,3159,49.94322
162,693,44.51617
162,92,47.57933
162,4215,43.23093
162,770,44.53614
162,2192,43.24543
162,149,42.60095
162,1534,49.96631
162,732,42.66909
162,3503,42.74164
162,1486,45.43365
162,2956,47.00599
162,2270,43.80401
26009,1873,70.81721
26009,3159,42.60461
26009,693,37.17755
26009,92,40.24072
26009,4215,35.89232
26009,770,37.19753
26009,2192,35.90682
26009,149,35.26234
26009,1534,42.6277
26009,732,35.33047
26009,3503,35.40302
26009,1486,38.09504
26009,2956,39.66738
26009,2270,36.4654
61078,1873,45.67454
61078,3159,17.46193
61078,693,12.03488
61078,92,15.09804
61078,4215,10.74965
61078,770,12.05486
61078,2192,10.76414
61078,149,10.11967
61078,1534,17.48502
61078,732,10.1878
61078,3503,10.26035
61078,1486,12.95236
61078,2956,14.52471
61078,2270,11.32273
48505,1873,75.87606
48505,3159,47.66345
48505,693,42.2364
48505,92,45.29956
48505,4215,40.95116
48505,770,42.25638
48505,2192,40.96566
48505,149,40.32119
48505,1534,47.68654
48505,732,40.38932
48505,3503,40.46187
48505,1486,43.15388
48505,2956,44.72623
48505,2270,41.52425
48524,1873,48.9294
48524,3159,20.7168
48524,693,15.28975
48524,92,18.35291
48524,4215,14.00451
48524,770,15.30972
48524,2192,14.01901
48524,149,13.37453
48524,1534,20.73989
48524,732,13.44267
48524,3503,13.51522
48524,1486,16.20723
48524,2956,17.77957
48524,2270,14.57759
13200,1873,53.69423
13200,3159,25.48162
13200,693,20.05457
13200,92,23.11773
13200,4215,18.76934
13200,770,20.07455
13200,2192,18.78384
13200,149,18.13936
13200,1534,25.50472
13200,732,18.20749
13200,3503,18.28004
13200,1486,20.97205
13200,2956,22.5444
13200,2270,19.34242
57982,1873,52.74565
57982,3159,24.53304
57982,693,19.10599
57982,92,22.16915
57982,4215,17.82075
57982,770,19.12596
57982,2192,17.83525
57982,149,17.19078
57982,1534,24.55613
57982,732,17.25891
57982,3503,17.33146
57982,1486,20.02347
57982,2956,21.59582
57982,2270,18.39384
