order_id,worker_id,estimated_profit
58062,719,48.30719
58062,3677,48.78067
58062,1365,44.66228
58062,2691,47.93712
58062,1121,47.67215
58062,1493,48.4769
58062,770,48.81328
58062,1533,44.78028
58062,2847,48.18104
58062,3335,44.99415
58062,565,48.66983
58062,1973,44.74012
26181,719,44.9131
26181,3677,45.38658
26181,1365,41.26819
26181,2691,44.54303
26181,1121,44.27806
26181,1493,45.08281
26181,770,45.41919
26181,1533,41.38619
26181,2847,44.78696
26181,3335,41.60007
26181,565,45.27574
26181,1973,41.34603
10161,719,46.29681
10161,3677,45.93347
10161,1365,49.50921
10161,2691,46.34498
10161,1121,46.59065
10161,1493,45.58516
10161,770,45.99356
10161,1533,49.62248
10161,2847,45.31746
10161,3335,49.73446
10161,565,46.14752
10161,1973,49.52345
55051,719,45.58192
55051,3677,46.0554
55051,1365,41.93702
55051,2691,45.21185
55051,1121,44.94688
55051,1493,45.75164
55051,770,46.08801
55051,1533,42.05502
55051,2847,45.45578
55051,3335,42.26889
55051,565,45.94457
55051,1973,42.01486
13398,719,45.99877
13398,3677,46.47225
13398,1365,42.35386
13398,2691,45.6287
13398,1121,45.36373
13398,1493,46.16848
13398,770,46.50486
13398,1533,42.47186
13398,2847,45.87263
13398,3335,42.68574
13398,565,46.36141
13398,1973,42.4317
45578,719,46.66692
45578,3677,47.1404
45578,1365,43.02201
45578,2691,46.29685
45578,1121,46.03188
45578,1493,46.83663
45578,770,47.17301
45578,1533,43.14001
45578,2847,46.54077
45578,3335,43.35388
45578,565,47.02956
45578,1973,43.09985
16625,719,46.74989
16625,3677,47.22337
16625,1365,43.10498
16625,2691,46.37982
16625,1121,46.11485
16625,1493,46.9196
16625,770,47.25598
16625,1533,43.22298
16625,2847,46.62374
16625,3335,43.43685
16625,565,47.11253
16625,1973,43.18282
58236,719,42.4089
58236,3677,42.04556
58236,1365,45.6213
58236,2691,42.45707
58236,1121,42.70274
58236,1493,41.69725
58236,770,42.10565
58236,1533,45.73457
58236,2847,41.42955
58236,3335,45.84655
58236,565,42.25961
58236,1973,45.63554
7020,719,41.83127
7020,3677,41.46793
7020,1365,45.04367
7020,2691,41.87944
7020,1121,42.12511
7020,1493,41.11962
7020,770,41.52803
7020,1533,45.15694
7020,2847,40.85192
7020,3335,45.26893
7020,565,41.68198
7020,1973,45.05791
7039,719,46.22984
7039,3677,46.70332
7039,1365,42.58493
7039,2691,45.85977
7039,1121,45.5948
7039,1493,46.39955
7039,770,46.73593
7039,1533,42.70293
7039,2847,46.1037
7039,3335,42.91681
7039,565,46.59248
7039,1973,42.66277
13468,719,41.9373
13468,3677,41.57396
13468,1365,45.1497
13468,2691,41.98547
13468,1121,42.23114
13468,1493,41.22565
13468,770,41.63405
13468,1533,45.26297
13468,2847,40.95795
13468,3335,45.37495
13468,565,41.78801
13468,1973,45.16394
629,719,48.48126
629,3677,48.95474
629,1365,44.83635
629,2691,48.11119
629,1121,47.84622
629,1493,48.65097
629,770,48.98735
629,1533,44.95435
629,2847,48.35512
629,3335,45.16823
629,565,48.8439
629,1973,44.91419
29526,719,42.44795
29526,3677,42.08461
29526,1365,45.66035
29526,2691,42.49612
29526,1121,42.74179
29526,1493,41.7363
29526,770,42.1447
29526,1533,45.77362
29526,2847,41.4686
29526,3335,45.8856
29526,565,42.29866
29526,1973,45.67459
