,service_time
"(58062, 719)",16192.93427647657
"(58062, 3677)",16192.93417429433
"(58062, 1365)",16192.934891543671
"(58062, 2691)",16192.934305399942
"(58062, 1121)",16192.934340074366
"(58062, 1493)",16192.934226004312
"(58062, 770)",16192.934167504234
"(58062, 1533)",16192.934872452835
"(58062, 2847)",16192.934265573283
"(58062, 3335)",16192.934836252562
"(58062, 565)",16192.934189417847
"(58062, 1973)",16192.934872708094
"(26181, 719)",16192.152621345824
"(26181, 3677)",16192.152519163585
"(26181, 1365)",16192.153236412925
"(26181, 2691)",16192.152650269196
"(26181, 1121)",16192.15268494362
"(26181, 1493)",16192.152570873566
"(26181, 770)",16192.152512373488
"(26181, 1533)",16192.15321732209
"(26181, 2847)",16192.152610442537
"(26181, 3335)",16192.153181121816
"(26181, 565)",16192.152534287101
"(26181, 1973)",16192.153217577348
"(10161, 719)",16191.634892474274
"(10161, 3677)",16191.634988299149
"(10161, 1365)",16191.634340062932
"(10161, 2691)",16191.63496186509
"(10161, 1121)",16191.634925593376
"(10161, 1493)",16191.635045992494
"(10161, 770)",16191.634971109324
"(10161, 1533)",16191.63432254596
"(10161, 2847)",16191.635079544716
"(10161, 3335)",16191.634312581851
"(10161, 565)",16191.63494780315
"(10161, 1973)",16191.634338340818
"(55051, 719)",16191.062215406073
"(55051, 3677)",16191.062113223834
"(55051, 1365)",16191.062830473174
"(55051, 2691)",16191.062244329445
"(55051, 1121)",16191.062279003869
"(55051, 1493)",16191.062164933815
"(55051, 770)",16191.062106433737
"(55051, 1533)",16191.062811382339
"(55051, 2847)",16191.062204502787
"(55051, 3335)",16191.062775182065
"(55051, 565)",16191.06212834735
"(55051, 1973)",16191.062811637597
"(13398, 719)",16190.129627962335
"(13398, 3677)",16190.129525780096
"(13398, 1365)",16190.130243029436
"(13398, 2691)",16190.129656885707
"(13398, 1121)",16190.12969156013
"(13398, 1493)",16190.129577490077
"(13398, 770)",16190.12951899
"(13398, 1533)",16190.1302239386
"(13398, 2847)",16190.129617059049
"(13398, 3335)",16190.130187738327
"(13398, 565)",16190.129540903612
"(13398, 1973)",16190.13022419386
"(45578, 719)",16189.44634729095
"(45578, 3677)",16189.446245108711
"(45578, 1365)",16189.446962358052
"(45578, 2691)",16189.446376214322
"(45578, 1121)",16189.446410888746
"(45578, 1493)",16189.446296818693
"(45578, 770)",16189.446238318615
"(45578, 1533)",16189.446943267216
"(45578, 2847)",16189.446336387664
"(45578, 3335)",16189.446907066942
"(45578, 565)",16189.446260232227
"(45578, 1973)",16189.446943522475
"(16625, 719)",16188.204825195095
"(16625, 3677)",16188.204723012856
"(16625, 1365)",16188.205440262196
"(16625, 2691)",16188.204854118467
"(16625, 1121)",16188.20488879289
"(16625, 1493)",16188.204774722837
"(16625, 770)",16188.204716222759
"(16625, 1533)",16188.20542117136
"(16625, 2847)",16188.204814291808
"(16625, 3335)",16188.205384971086
"(16625, 565)",16188.204738136372
"(16625, 1973)",16188.205421426619
"(58236, 719)",16187.589433777843
"(58236, 3677)",16187.589529602717
"(58236, 1365)",16187.5888813665
"(58236, 2691)",16187.589503168658
"(58236, 1121)",16187.589466896945
"(58236, 1493)",16187.589587296063
"(58236, 770)",16187.589512412893
"(58236, 1533)",16187.588863849529
"(58236, 2847)",16187.589620848285
"(58236, 3335)",16187.58885388542
"(58236, 565)",16187.589489106718
"(58236, 1973)",16187.588879644387
"(7020, 719)",16186.08168119572
"(7020, 3677)",16186.081777020594
"(7020, 1365)",16186.081128784377
"(7020, 2691)",16186.081750586534
"(7020, 1121)",16186.081714314822
"(7020, 1493)",16186.08183471394
"(7020, 770)",16186.08175983077
"(7020, 1533)",16186.081111267406
"(7020, 2847)",16186.081868266161
"(7020, 3335)",16186.081101303296
"(7020, 565)",16186.081736524595
"(7020, 1973)",16186.081127062263
"(7039, 719)",16185.632745068708
"(7039, 3677)",16185.632642886469
"(7039, 1365)",16185.63336013581
"(7039, 2691)",16185.63277399208
"(7039, 1121)",16185.632808666503
"(7039, 1493)",16185.63269459645
"(7039, 770)",16185.632636096372
"(7039, 1533)",16185.633341044973
"(7039, 2847)",16185.632734165421
"(7039, 3335)",16185.6333048447
"(7039, 565)",16185.632658009985
"(7039, 1973)",16185.633341300232
"(13468, 719)",16185.704934076948
"(13468, 3677)",16185.705029901823
"(13468, 1365)",16185.704381665606
"(13468, 2691)",16185.705003467763
"(13468, 1121)",16185.70496719605
"(13468, 1493)",16185.705087595168
"(13468, 770)",16185.705012711998
"(13468, 1533)",16185.704364148634
"(13468, 2847)",16185.70512114739
"(13468, 3335)",16185.704354184525
"(13468, 565)",16185.704989405824
"(13468, 1973)",16185.704379943492
"(629, 719)",16185.21647247491
"(629, 3677)",16185.21637029267
"(629, 1365)",16185.21708754201
"(629, 2691)",16185.216501398281
"(629, 1121)",16185.216536072705
"(629, 1493)",16185.216422002652
"(629, 770)",16185.216363502574
"(629, 1533)",16185.217068451175
"(629, 2847)",16185.216461571623
"(629, 3335)",16185.217032250901
"(629, 565)",16185.216385416186
"(629, 1973)",16185.217068706434
"(29526, 719)",16184.947793626014
"(29526, 3677)",16184.947889450888
"(29526, 1365)",16184.947241214672
"(29526, 2691)",16184.947863016829
"(29526, 1121)",16184.947826745116
"(29526, 1493)",16184.947947144234
"(29526, 770)",16184.947872261064
"(29526, 1533)",16184.9472236977
"(29526, 2847)",16184.947980696455
"(29526, 3335)",16184.94721373359
"(29526, 565)",16184.94784895489
"(29526, 1973)",16184.947239492558
