order_id,pickup_location,delivery_location,ready_time,fetch_time,placement_time,arrive_time
19595,r852,home1,1666002576,1666002993,1666002707,1666004164
6772,r1066,home2,1666014567,1666015292,1666014615,1666017165
9705,r627,home3,1665975542,1665976460,1665975648,1665977154
63942,r347,home4,1665972758,1665973357,1665972915,1665974141
57753,r347,home5,1665978114,1665978807,1665978501,1665979484
16348,r347,home6,1666005867,1666006393,1666006007,1666006665
32257,r627,home7,1665996991,1665997510,1665997096,1665998312
38584,r627,home8,1665983849,1665984279,1665984016,1665984731
60925,r1388,home9,1665980113,1665980896,1665980418,1665981601
57718,r1388,home10,1665976635,1665977136,1665976730,1665977440
57704,r347,home11,1665975753,1665976694,1665976009,1665977718
29232,r1962,home12,1666017257,1666020899,1666020555,1666021475
51624,r1388,home13,1666000021,1666000676,1666000487,1666002598
54618,r953,home14,1665977670,1665979257,1665978170,1665980342
60871,r347,home15,1665976384,1665977084,1665976760,1665977868
57791,r627,home16,1665980479,1665981392,1665980568,1665982039
9981,r1066,home17,1666007442,1666008115,1666007656,1666008774
10005,r627,home18,1666009870,1666010246,1666009936,1666011178
3189,r627,home19,1665974089,1665974640,1665974356,1665975728
22611,r953,home20,1665978029,1665979342,1665978529,1665979766
