pick_up_lng,pick_up_lat,delivery_lng,delivery_lat,grab_time,arrive_time
174526998,45905899,174527308,45911039,1666059622,1666060845
174526998,45905899,174539037,45887292,1666062863,1666064529
174542450,45919700,174542791,45919091,1666064611,1666064991
174526998,45905899,174534973,45889409,1666066405,1666068237
174526998,45905899,174530199,45921263,1666069851,1666070925
174526998,45905899,174543569,45901022,1666072188,1666073062
174526998,45905899,174534462,45916880,1666076961,1666077813
174542450,45919700,174555052,45935577,1666079179,1666080411
174542450,45919700,174537582,45940155,1666084816,1666086425
174526998,45905899,174540769,45916763,1666086422,1666087211
174542450,45919700,174517716,45930392,1666085959,1666087613
174526998,45905899,174527117,45910260,1666087558,1666089117
174542450,45919700,174557773,45934156,1666088880,1666090645
