order_id,worker_id,service_time,delivery_cost,estimated_profit
10492,4244.0,52.97215,1.90295,48.09705
20434,110.0,17.98483,1.3809,48.6191
58536,1279.0,14.78183,2.34854,47.65146
13922,58.0,26.27495,2.28471,47.71529
26719,1493.0,37.89433,5.16701,44.83299
58590,3363.0,32.87809,4.31156,45.68844
3975,149.0,31.60745,3.15174,46.84826
36381,2971.0,31.50681,4.36492,45.63508
46163,1339.0,19.11327,3.33976,46.66024
58562,976.0,27.00534,5.58569,44.41431
39217,4044.0,35.89678,3.42536,46.57464
46124,2253.0,13.97876,1.88116,48.11884
42551,2318.0,16.38136,0.85898,49.14102
52331,1121.0,36.37683,6.84293,43.15707
10635,475.0,20.78887,3.19018,46.80982
49342,1511.0,28.93536,4.90825,45.09175
46117,2129.0,34.45569,4.85466,45.14534
46095,770.0,16.08201,2.18136,47.81864
23361,1534.0,18.46466,1.38398,48.61602
36317,1886.0,42.92798,6.34542,43.65458
16964,3121.0,21.26235,3.22677,46.77323
42727,3562.0,48.61762,6.21467,43.78533
49252,2353.0,13.54605,0.54741,49.45259
61601,1072.0,28.71458,3.97785,46.02215
10575,935.0,25.95776,2.56848,47.43152
55434,2679.0,21.78894,3.16297,46.83703
26654,1751.0,27.84939,4.36319,45.63681
36241,772.0,44.74077,7.40618,42.59382
52394,3970.0,26.6152,3.95077,46.04923
7347,813.0,25.78541,3.70271,46.29729
7416,3364.0,43.05886,6.34485,43.65515
55428,3124.0,28.27225,4.55519,45.44481
20166,3026.0,33.89088,4.15898,45.84102
26883,3986.0,24.21224,2.16508,47.83492
42816,3114.0,46.27111,6.6277,43.3723
17099,411.0,30.87974,4.75138,45.24862
39505,1096.0,38.18045,5.82877,44.17123
39528,1057.0,39.06479,7.10845,42.89155
33042,3036.0,45.32816,7.33713,42.66287
7426,1048.0,32.97261,5.29416,44.70584
